matrix_representation	principal_component	component_number	feature_column	loading	absolute_loading	squared_loading	contribution_percent	antigen_target	assay_feature	feature_family	absolute_loading_rank
raw_log2_change	PC2	2	HPV18__IgG	0.2719276768306137	0.2719276768306137	0.0739446614264946	7.394466142649468	HPV18	IgG	binding_antibody_abundance	1
raw_log2_change	PC2	2	HPV18__IgG1	0.2694673076272781	0.2694673076272781	0.0726126298798941	7.261262987989412	HPV18	IgG1	igg_subclass_architecture	2
raw_log2_change	PC2	2	HPV16__IgM	0.2256811628271172	0.2256811628271172	0.0509319872549998	5.093198725499979	HPV16	IgM	binding_antibody_abundance	3
raw_log2_change	PC2	2	HPV16__nAb	0.2206325079593212	0.2206325079593212	0.0486787035684199	4.867870356841995	HPV16	nAb	neutralization	4
raw_log2_change	PC2	2	HPV16__IgA2	0.2165507103468113	0.2165507103468113	0.0468942101517085	4.68942101517086	HPV16	IgA2	binding_antibody_abundance	5
raw_log2_change	PC2	2	HPV16__ADCP	0.2093526393478059	0.2093526393478059	0.0438285276018925	4.382852760189252	HPV16	ADCP	phagocytic_function	6
raw_log2_change	PC2	2	HPV16__IgA1	0.2091243977155485	0.2091243977155485	0.0437330137198909	4.373301371989092	HPV16	IgA1	binding_antibody_abundance	7
raw_log2_change	PC2	2	HPV18__IgA1	0.2078300439871121	0.2078300439871121	0.0431933271836849	4.319332718368497	HPV18	IgA1	binding_antibody_abundance	8
raw_log2_change	PC2	2	HPV16__IgG1	0.1996694910504838	0.1996694910504838	0.0398679056563592	3.9867905656359226	HPV16	IgG1	igg_subclass_architecture	9
raw_log2_change	PC2	2	HPV16__IgG	0.1943673385151063	0.1943673385151063	0.0377786622814459	3.7778662281445934	HPV16	IgG	binding_antibody_abundance	10
raw_log2_change	PC2	2	HPV16__IgG3	0.1833480441374221	0.1833480441374221	0.0336165052890181	3.3616505289018104	HPV16	IgG3	igg_subclass_architecture	11
raw_log2_change	PC2	2	HPV18__FcgR3A	0.1741284254208382	0.1741284254208382	0.0303207085395404	3.032070853954042	HPV18	FcgR3A	fc_receptor_communication	12
