axis_label	matrix_representation	component_number	binding_antibody_abundance	igg_subclass_architecture	fc_receptor_communication	phagocytic_function	neutralization
Raw PC1	raw_log2_change	1	25.407377941492022	38.75978375971015	33.73905913431614	0.1877465358294168	1.906032628652251
BPV PC1	bpv_calibrated_log2_change	1	27.17565457326204	34.694777235593115	38.12956819114487	0.0	0.0
Raw PC2	raw_log2_change	2	43.606629786130505	26.489488258504345	16.254649391554658	7.295762984895104	6.353469578915279
BPV PC2	bpv_calibrated_log2_change	2	48.58393300967906	26.5110006377507	24.90506635257022	0.0	0.0
