matrix_representation	principal_component	component_number	primary_participants	recall_participants	primary_mean	recall_mean	mean_difference_recall_minus_primary	primary_median	recall_median	median_difference_recall_minus_primary	mann_whitney_u	mann_whitney_p_value	rank_biserial_recall_minus_primary	welch_t_statistic	welch_p_value	hedges_g_recall_minus_primary	bh_q_value	fdr_significant
raw_log2_change	PC1	1	20	60	-5.745149161070451	1.9150497203568173	7.660198881427268	-6.174826602011411	1.9490130401441617	8.123839642155573	1140.0	2.041822513635678e-09	0.8999999999999999	9.41872094763952	1.7856212443078632e-10	2.5345019594217653	2.0418225136356783e-08	True
raw_log2_change	PC2	2	20	60	2.1847210731598707	-0.7282403577199569	-2.9129614308798275	1.91645025640004	-1.1217344855114293	-3.0381847419114694	253.0	0.0001181178248378	-0.5783333333333334	-4.279698974343735	0.0001350219635649	-1.0436960660726962	0.0005905891241892	True
raw_log2_change	PC3	3	20	60	-0.0954988490973102	0.0318329496991033	0.1273317987964136	0.924839605750743	0.5858196929405596	-0.3390199128101834	583.0	0.8545364813939189	-0.0283333333333333	0.1756021033110116	0.8619270603090484	0.0513411632294021	0.8545364813939189	False
raw_log2_change	PC4	4	20	60	0.4279482796708492	-0.1426494265569498	-0.570597706227799	0.0087181691869826	-0.0869180547725778	-0.0956362239595604	550.0	0.5823193735766927	-0.0833333333333333	-1.0066732458031515	0.3222960348139387	-0.2746253914903864	0.8158880507197999	False
raw_log2_change	PC5	5	20	60	0.2800592241469556	-0.0933530747156517	-0.3734122988626073	0.3995785323203933	0.2009698214236489	-0.1986087108967444	550.0	0.5823193735766927	-0.0833333333333333	-0.7321958624200195	0.4698785049481542	-0.2006764443118723	0.8158880507197999	False
raw_log2_change	PC6	6	20	60	-0.1598752117547409	0.0532917372515804	0.2131669490063213	-0.1470636662248593	-0.1923159949999222	-0.0452523287750629	641.0	0.6527104405758399	0.0683333333333333	0.5123312141428007	0.6111142431298544	0.1153653457006518	0.8158880507197999	False
raw_log2_change	PC7	7	20	60	-0.3132046621816924	0.1044015540605641	0.4176062162422566	-0.4429164744480015	-0.2286601262043398	0.2142563482436617	660.0	0.5085410601949426	0.1	1.2850185453018028	0.202967312067993	0.2322792490325541	0.8158880507197999	False
raw_log2_change	PC8	8	20	60	0.3711169747424966	-0.1237056582474986	-0.4948226329899953	0.1949182227407306	0.0639981979569504	-0.1309200247837801	519.0	0.3710841417958664	-0.135	-1.1677149981332942	0.2511204323335222	-0.293068015713562	0.8158880507197999	False
raw_log2_change	PC9	9	20	60	-0.12212670701742	0.0407089023391403	0.1628356093565604	0.1319142898718493	0.0102241038969217	-0.1216901859749275	576.0	0.7940068234067132	-0.04	0.3269620153487068	0.7462806302734862	0.0969152566197654	0.8545364813939189	False
raw_log2_change	PC10	10	20	60	0.2677591475064769	-0.0892530491688256	-0.3570121966753025	0.1624352157779328	-0.0103533050680584	-0.1727885208459913	504.0	0.2886394089190878	-0.16	-1.0415489567291687	0.3033754935383172	-0.2304878535891849	0.8158880507197999	False
