matrix_representation	cluster_count	cluster_label	state_label	participants	primary_participants	recall_participants	primary_fraction	recall_fraction	display_label
raw_log2_change	2	2	primary-dominant	19	18	1	0.9473684210526315	0.05263157894736842	"Raw
primary-dominant"
raw_log2_change	2	1	recall-dominant	61	2	59	0.03278688524590164	0.9672131147540983	"Raw
recall-dominant"
bpv_calibrated_log2_change	2	1	primary-dominant	21	19	2	0.9047619047619048	0.09523809523809523	"BPV-calibrated
primary-dominant"
bpv_calibrated_log2_change	2	2	recall-dominant	59	1	58	0.01694915254237288	0.9830508474576272	"BPV-calibrated
recall-dominant"
