analysis_layer	predictor_representation	antigen_target	predictor_feature	functional_outcome	feature_pair	pair_maximum_floor_severity	floor_sensitive_pair	primary_participants	primary_spearman_rho	primary_p_value	primary_q_value	recall_participants	recall_spearman_rho	recall_p_value	recall_q_value	rho_difference_recall_minus_primary	fisher_z_difference	standard_error	z_statistic	p_value	context_pattern	bh_q_value	fdr_significant
predictor_function	raw_predictor	HPV16	IgG	ADCP	IgG__ADCP	none	False	20	0.3383458646616541	0.1445260996635991	0.2890521993271983	60	0.6263279802909552	8.674143804561093e-08	1.7348287609122187e-07	0.28798211562930104	0.38312739191610845	0.27634650180685755	1.3864021777409057	0.16562413184860159	stronger_positive_coupling_in_recall	0.49687239554580476	False
predictor_function	raw_predictor	HPV16	IgG1	ADCP	IgG1__ADCP	none	False	20	0.3593984962406014	0.1196325063290389	0.2890521993271983	60	0.7062517365934983	2.9035394813571404e-10	1.742123688814284e-09	0.3468532403528969	0.5034705544802206	0.27634650180685755	1.8218814104334249	0.0684729815368614	stronger_positive_coupling_in_recall	0.41083788922116843	False
predictor_function	raw_predictor	HPV16	IgG3	ADCP	IgG3__ADCP	none	False	20	0.4902255639097743	0.028210805618894	0.169264833713364	60	0.642289524868019	3.1718163441377105e-08	9.515449032413133e-08	0.15206396095824476	0.22570412076081803	0.27634650180685755	0.816743180337292	0.4140752092678758	stronger_positive_coupling_in_recall	0.4968902511214509	False
predictor_function	raw_predictor	HPV16	FcgR2A	ADCP	FcgR2A__ADCP	low	False	20	0.0827067669172932	0.7288508763559796	0.8746210516271754	60	0.1391497638232842	0.2889877612099659	0.2889877612099659	0.056442996905991	0.057162319749890486	0.27634650180685755	0.2068501659190245	0.8361268765499497	stronger_positive_coupling_in_recall	0.8361268765499497	False
predictor_function	raw_predictor	HPV16	FcgR2B	ADCP	FcgR2B__ADCP	moderate	True	20	-0.0045112781954887	0.9849400483404018	0.9849400483404018	60	0.2417893859405391	0.06271381398266	0.075256576779192	0.24630066413602777	0.25118504358419225	0.27634650180685755	0.9089496047239599	0.36337672786444075	emerges_or_reverses_positive_in_recall	0.4968902511214509	False
predictor_function	raw_predictor	HPV16	FcgR3A	ADCP	FcgR3A__ADCP	low	False	20	0.0917293233082706	0.7005157258604466	0.8746210516271754	60	0.3109752709085857	0.0155877518850298	0.0233816278275448	0.21924594760031507	0.22963682113850448	0.27634650180685755	0.8309742285031742	0.4059881883373828	stronger_positive_coupling_in_recall	0.4968902511214509	False
predictor_function	raw_predictor	HPV16	IgG	nAb	IgG__nAb	moderate	True	20	-0.1497045201553083	0.5287231886064996	0.6344678263277995	60	0.6745631764488348	3.433392345696947e-09	1.030017703709084e-08	0.8242676966041431	0.9699078023265228	0.27634650180685755	3.509752415843516	0.00044852411652804953	emerges_or_reverses_positive_in_recall	0.0008970482330560991	True
predictor_function	raw_predictor	HPV16	IgG1	nAb	IgG1__nAb	moderate	True	20	-0.1694624771301205	0.4750708311253099	0.6344678263277995	60	0.7698138510862964	6.566280472074763e-13	3.939768283244858e-12	0.9392763282164169	1.1909838591758743	0.27634650180685755	4.309748273955969	1.634404784050493e-05	emerges_or_reverses_positive_in_recall	9.806428704302958e-05	True
predictor_function	raw_predictor	HPV16	IgG3	nAb	IgG3__nAb	moderate	True	20	-0.4103575679384084	0.0723160080808106	0.2598233710609561	60	0.4946545598855443	5.884641600775442e-05	0.0001176928320155	0.9050121278239527	0.978245199962994	0.27634650180685755	3.539922501522032	0.0004002445462405489	emerges_or_reverses_positive_in_recall	0.0008970482330560991	True
predictor_function	raw_predictor	HPV16	FcgR2A	nAb	FcgR2A__nAb	moderate	True	20	0.1656628700195797	0.4851712097123725	0.6344678263277995	60	0.1266846019973778	0.3347724520577603	0.3347724520577603	-0.03897826802220189	-0.0398348953415841	0.27634650180685755	-0.1441483611376607	0.8853833167993354	weaker_positive_coupling_in_recall	0.8853833167993354	False
