optimizer	fit_completed	converged	acceptable	log_likelihood	gradient_warning	minimum_fixed_covariance_eigenvalue	random_intercept_variance	residual_variance	warnings	error
powell	yes	yes	yes	-388.39307934746193		0.029948314868606704	7.916536839860629e-10	7.516017615851436	The Hessian matrix at the estimated parameter values is not positive definite. | The MLE may be on the boundary of the parameter space.	
bfgs	yes	no	no	-396.3179697195336		0.0377073768469155	1.2562694109968555	7.136969092734709	Gradient optimization failed, |grad| = 34.668839 | Maximum Likelihood optimization failed to converge. Check mle_retvals | MixedLM optimization failed, trying a different optimizer may help. | The Hessian matrix at the estimated parameter values is not positive definite.	
cg	yes	no	no	-389.28668945550976		0.030776735582786523	0.13733189791721873	7.464351848322478	Gradient optimization failed, |grad| = 13.057311 | Maximum Likelihood optimization failed to converge. Check mle_retvals | MixedLM optimization failed, trying a different optimizer may help. | The Hessian matrix at the estimated parameter values is not positive definite.	
nm	yes	yes	yes	-388.3930812118888		0.029948316585568284	2.867133142532908e-07	7.516017505093096	The Hessian matrix at the estimated parameter values is not positive definite. | The MLE may be on the boundary of the parameter space.	
lbfgs	yes	no	no	-388.66268006293353		0.030197087657769784	0.04136931010991541	7.5001335482761915	Gradient optimization failed, |grad| = 7.240530 | Maximum Likelihood optimization failed to converge. Check mle_retvals | MixedLM optimization failed, trying a different optimizer may help. | Random effects covariance is singular | The Hessian matrix at the estimated parameter values is not positive definite.	
