sensitivity_id	antigen_target	feature	previous_4vHPV_doses	continuous_effect	continuous_q_value	detection_effect	detection_q_value	conditional_effect	conditional_q_value	robustness_classification
within|HPV16|IgG2|dose1	HPV16	IgG2	1.0	2.491257919520913	0.0036511072118107	0.1	0.7407407407407407	1.9338534578657098	0.03148974278738804	sensitivity_supported
within|HPV16|IgG2|dose2	HPV16	IgG2	2.0	0.4246740794557859	0.4195335679498815	0.0	1.0	0.42467407945578595	0.5768586559310871	continuous_result_not_fdr_significant
within|HPV16|IgG2|dose3	HPV16	IgG2	3.0	0.6422621513234879	0.2820614469464131	0.0	1.0	0.6422621513234879	0.42703402293905723	continuous_result_not_fdr_significant
within|HPV16|IgG4|dose0	HPV16	IgG4	0.0	0.819372315259957	0.0710447900637715	-0.65	0.0016276041666666667	2.6454788553948987	0.03810307777972048	continuous_result_not_fdr_significant
within|HPV16|IgG4|dose1	HPV16	IgG4	1.0	2.4882892950453352	0.0019029013874057	-0.05	1.0	2.6192518895214056	0.005925622852021885	sensitivity_supported
within|HPV16|IgG4|dose2	HPV16	IgG4	2.0	0.407349399496561	0.4195335679498815	0.0	1.0	0.407349399496561	0.5768586559310871	continuous_result_not_fdr_significant
within|HPV16|IgG4|dose3	HPV16	IgG4	3.0	0.2778355873951089	0.6783600979585285	0.0	1.0	0.27783558739510894	0.7503289738974059	continuous_result_not_fdr_significant
within|HPV16|nAb|dose0	HPV16	nAb	0.0	5.1	6.249818400229183e-08	0.75	0.000244140625	8.0		sensitivity_supported
within|HPV16|nAb|dose1	HPV16	nAb	1.0	5.75	5.589934478487331e-09	0.05	1.0	5.894736842105263	1.0964419551570983e-08	sensitivity_supported
within|HPV16|nAb|dose2	HPV16	nAb	2.0	3.4761904761904763	5.232484869542223e-10	0.0	1.0	3.4761904761904763	6.976646492722963e-10	sensitivity_supported
within|HPV16|nAb|dose3	HPV16	nAb	3.0	3.736842105263157	6.465684301869224e-07	0.0	1.0	3.736842105263157	6.465684301869224e-07	sensitivity_supported
within|HPV18|IgA2|dose0	HPV18	IgA2	0.0	5.806649541396817	1.5139163136873791e-06	0.4	0.04017857142857143	4.357511716702502	0.002454398995612434	sensitivity_supported
within|HPV18|IgA2|dose1	HPV18	IgA2	1.0	4.752425889451458	0.0004611873872784	0.5	0.0234375	1.8356520406421912	0.20394330968790456	sensitivity_supported
within|HPV18|IgA2|dose2	HPV18	IgA2	2.0	3.404783419719778	0.0031089067534575	0.23809523809523808	0.15	1.7431079487175016	0.06190705828236606	not_supported_after_floor_sensitivity
within|HPV18|IgA2|dose3	HPV18	IgA2	3.0	3.500751592338076	0.0046047915792512	0.2631578947368421	0.15	1.5504530874508113	0.07428993269236271	not_supported_after_floor_sensitivity
