antigen_target	predictor_feature	functional_outcome	relationship	participants	zero_order_spearman_rho	partial_spearman_rho	rho_change_after_dose_adjustment	p_value	bh_q_value	primary_spearman_rho	recall_spearman_rho	rho_difference_recall_minus_primary	context_difference_q_value	context_difference_supported	pair_maximum_floor_severity	floor_sensitive_pair	evidence_grade	claim_readiness	biological_interpretation
HPV16	ADCP	nAb	HPV16 ADCP–neutralization coordination	60	0.7676879889198578	0.759242627136164	-0.0084453617836938	4.937790723722921e-12	4.937790723722921e-12	0.0030396856884326	0.7676879889198578	0.7646483032314252	0.00025148496319	True	moderate	True	A2_function_function_dose_adjusted	claim_ready_with_floor_qualification	HPV16 ADCP–neutralization coordination remained associated after adjustment for previous-dose group (zero-order rho=0.768; partial rho=0.759; BH q=4.94e-12).
HPV18	ADCP	nAb	HPV18 ADCP–neutralization coordination	60	0.5536412673146913	0.522683620621063	-0.0309576466936283	2.5658382734373197e-05	2.5658382734373197e-05	0.1715763541435357	0.5536412673146913	0.3820649131711556	0.103192026337479	False	high	True	A2_function_function_dose_adjusted	claim_ready_with_floor_qualification	HPV18 ADCP–neutralization coordination remained associated after adjustment for previous-dose group (zero-order rho=0.554; partial rho=0.523; BH q=2.57e-05).
