antigen_target	antigen_class	feature	assay_family	previous_4vHPV_doses	participant_feature_records	paired_participants	visit1_observed	visit2_observed	median_log2_change	mean_log2_change	sd_log2_change	median_raw_change	positive_log2_change_fraction	paired_fraction
BPV	heterologous_control_antigen	IgG2	antibody_isotype_or_subclass	3	19	19	19	19	0.0	0.1399213432806199	1.1649280005712948	0.0	0.3157894736842105	1.0
BPV	heterologous_control_antigen	IgG3	antibody_isotype_or_subclass	0	20	20	20	20	-0.7477861259631915	-1.2349542785406764	3.674239765131141	-71.6	0.4	1.0
BPV	heterologous_control_antigen	IgG3	antibody_isotype_or_subclass	1	20	20	20	20	1.936062588723921	2.333702884571167	2.971420945376117	126.65	0.8	1.0
BPV	heterologous_control_antigen	IgG3	antibody_isotype_or_subclass	2	21	21	21	21	0.8488145291559723	1.2547790904047111	2.370967728623966	95.0	0.6190476190476191	1.0
BPV	heterologous_control_antigen	IgG3	antibody_isotype_or_subclass	3	19	19	19	19	1.08041449606484	0.8472114592456161	2.8100723708622426	73.8	0.5789473684210527	1.0
BPV	heterologous_control_antigen	IgG4	antibody_isotype_or_subclass	0	20	20	20	20	0.0	0.1843723322792602	1.2265662592535573	0.0	0.25	1.0
BPV	heterologous_control_antigen	IgG4	antibody_isotype_or_subclass	1	20	20	20	20	0.0	-0.16791281322141785	1.343922677964109	0.0	0.2	1.0
BPV	heterologous_control_antigen	IgG4	antibody_isotype_or_subclass	2	21	21	21	21	0.0	0.2607566335541624	0.9678732878635914	0.0	0.2857142857142857	1.0
BPV	heterologous_control_antigen	IgG4	antibody_isotype_or_subclass	3	19	19	19	19	0.0	-0.6871187271709212	1.9080391610108802	0.0	0.15789473684210525	1.0
BPV	heterologous_control_antigen	IgM	antibody_isotype_or_subclass	0	20	20	20	20	-0.12359500076663288	-0.11823387367742946	0.7761206018277056	-83.10000000000002	0.45	1.0
BPV	heterologous_control_antigen	IgM	antibody_isotype_or_subclass	1	20	20	20	20	0.0526910108489842	-0.05291686005156824	0.5991815801914955	19.600000000000023	0.55	1.0
BPV	heterologous_control_antigen	IgM	antibody_isotype_or_subclass	2	21	21	21	21	0.10838281233621672	0.22145410222201334	0.7870387630135184	60.0	0.5714285714285714	1.0
BPV	heterologous_control_antigen	IgM	antibody_isotype_or_subclass	3	19	19	19	19	0.02781401214242507	0.06033994653792244	0.7035017600644193	9.300000000000011	0.5263157894736842	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	ADCP	antibody_dependent_cellular_phagocytosis	0	20	20	20	20	1.4843711835877258	1.3635287241410607	0.832084884023038	42.377168125000004	0.95	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	ADCP	antibody_dependent_cellular_phagocytosis	1	20	20	20	20	1.67219132694848	1.5944910470397589	0.7199233408384602	79.18698725	0.95	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	ADCP	antibody_dependent_cellular_phagocytosis	2	21	21	21	21	0.819458382802253	0.9840842706399242	0.7128244760670507	48.39884400000001	1.0	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	ADCP	antibody_dependent_cellular_phagocytosis	3	19	19	19	19	1.427314404499846	1.3454921618287115	0.9227310557921362	66.70981774999998	0.9473684210526315	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2A	fc_gamma_receptor_binding	0	20	20	20	20	-0.11675728083754855	-0.3986431041559391	9.404304784277857	103.25	0.5	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2A	fc_gamma_receptor_binding	1	20	20	20	20	0.5258598705445809	0.9886084118016883	2.193826816247976	1750.5	0.85	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2A	fc_gamma_receptor_binding	2	21	21	21	21	0.24487987144817858	0.36466135310976855	0.681545949710823	900.1999999999998	0.8095238095238095	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2A	fc_gamma_receptor_binding	3	19	19	19	19	0.3368659487480521	0.3792856971251042	0.4642619809747655	1328.1999999999998	0.8421052631578947	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2B	fc_gamma_receptor_binding	0	20	20	20	20	8.715526774700034	7.378118297644496	3.650391641002373	1532.5500000000002	1.0	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2B	fc_gamma_receptor_binding	1	20	20	20	20	0.3462693048549639	0.540128687247197	2.5281555503342195	878.0	0.75	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2B	fc_gamma_receptor_binding	2	21	21	21	21	0.15099103094062727	0.14022654224808426	0.28116450830571954	238.5	0.6666666666666666	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2B	fc_gamma_receptor_binding	3	19	19	19	19	-0.030960886964065182	0.12424269461249643	0.4550407748971158	-57.5	0.47368421052631576	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR3A	fc_gamma_receptor_binding	0	20	20	20	20	6.716799365696376	6.430636972938049	2.9445214307883467	763.5	1.0	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR3A	fc_gamma_receptor_binding	1	20	20	20	20	0.676619279300045	1.1816668081342736	2.025686173000389	1093.8000000000002	0.85	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR3A	fc_gamma_receptor_binding	2	21	21	21	21	0.4275846337512732	1.238206262785896	2.579197111511832	930.3000000000002	0.9523809523809523	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR3A	fc_gamma_receptor_binding	3	19	19	19	19	0.21393590601990375	0.35770115175217726	0.40443668121113135	544.1999999999998	0.8421052631578947	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	IgA1	antibody_isotype_or_subclass	0	20	20	20	20	6.116201511915192	5.505789209210895	2.3602491464799074	9505.85	1.0	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	IgA1	antibody_isotype_or_subclass	1	20	20	20	20	1.5930282981570674	2.664803450485171	3.3517133691292607	2531.15	0.8	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	IgA1	antibody_isotype_or_subclass	2	21	21	21	21	0.37035321726192905	0.6360843372757404	1.3882664696233045	2234.2	0.6190476190476191	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	IgA1	antibody_isotype_or_subclass	3	19	19	19	19	0.8546043865308608	1.0139292178354924	1.1062482074354643	3639.7	0.8947368421052632	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	IgA2	antibody_isotype_or_subclass	0	20	20	20	20	9.876770660668795	9.173556180849406	2.793272107361329	2252.0	1.0	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	IgA2	antibody_isotype_or_subclass	1	20	20	20	20	3.3260461784216364	4.389789104510606	4.1777368148450105	872.6	0.95	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	IgA2	antibody_isotype_or_subclass	2	21	21	21	21	1.7021117620302677	1.7154892563996393	3.0218913561885077	2026.0	0.7619047619047619	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	IgA2	antibody_isotype_or_subclass	3	19	19	19	19	1.9316830570598054	2.137217771292755	2.320243959583384	1689.0	0.8947368421052632	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG	antibody_isotype_or_subclass	0	20	20	20	20	6.556883064267046	6.37453786975346	2.0542294333095956	22561.5	1.0	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG	antibody_isotype_or_subclass	1	20	20	20	20	0.048565522062081534	0.9193106343031022	1.9774496175125857	1080.2000000000007	0.8	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG	antibody_isotype_or_subclass	2	21	21	21	21	8.830236280843451e-05	0.006393843378931187	0.020703260834729686	2.0	0.6666666666666666	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG	antibody_isotype_or_subclass	3	19	19	19	19	2.2098076783549914e-05	0.06155158859745145	0.21164798235404164	0.5	0.5789473684210527	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG1	antibody_isotype_or_subclass	0	20	20	20	20	6.533559395305058	6.1665379626511765	1.9934306423056627	12970.6	1.0	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG1	antibody_isotype_or_subclass	1	20	20	20	20	0.6071459118466942	1.3132935467236202	1.9879243009019087	9429.85	0.8	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG1	antibody_isotype_or_subclass	2	21	21	21	21	0.06303020841587603	0.13233125730963355	0.22353367958926482	1386.7000000000007	0.8095238095238095	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG1	antibody_isotype_or_subclass	3	19	19	19	19	0.025048240995491966	0.21277378688868853	0.34983706567975814	544.2999999999993	0.6842105263157895	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG2	antibody_isotype_or_subclass	0	20	20	20	20	0.8216895934732393	1.2957393626336062	4.193912500320579	0.8500000000000014	0.55	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG2	antibody_isotype_or_subclass	1	20	20	20	20	1.606418355550125	2.4710898542954873	3.108237387878788	947.0	0.85	1.0
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG2	antibody_isotype_or_subclass	2	21	21	21	21	1.1827172589403716	0.42475522986053466	2.1662521501685403	2255.5	0.6666666666666666	1.0
