antigen_target	antigen_class	visit	feature	assay_family	minimum	minimum_count	minimum_fraction	floor_severity	discrete_titer_or_ordinal_assay
HPV16	vaccine_target_2vHPV_and_4vHPV	v2	IgA1	antibody_isotype_or_subclass	680.0	1	0.0125	none	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v1	IgA2	antibody_isotype_or_subclass	1.0	24	0.3	high	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v2	IgA2	antibody_isotype_or_subclass	1.0	2	0.025	none	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v1	IgG	antibody_isotype_or_subclass	10.5	1	0.0125	none	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v2	IgG	antibody_isotype_or_subclass	3976.5	1	0.0125	none	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v1	IgG1	antibody_isotype_or_subclass	22.0	1	0.0125	none	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v2	IgG1	antibody_isotype_or_subclass	2214.0	1	0.0125	none	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v1	IgG2	antibody_isotype_or_subclass	1.0	12	0.15	moderate	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v2	IgG2	antibody_isotype_or_subclass	0.2000000000000028	1	0.0125	none	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v1	IgG3	antibody_isotype_or_subclass	1.0	2	0.025	none	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v2	IgG3	antibody_isotype_or_subclass	109.8	1	0.0125	none	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v1	IgG4	antibody_isotype_or_subclass	0.7000000000000028	1	0.0125	none	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v2	IgG4	antibody_isotype_or_subclass	1.0	15	0.1875	moderate	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v1	IgM	antibody_isotype_or_subclass	137.5	1	0.0125	none	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v2	IgM	antibody_isotype_or_subclass	462.5	1	0.0125	none	no
HPV16	vaccine_target_2vHPV_and_4vHPV	v1	nAb	neutralizing_antibody	50.0	20	0.25	moderate	yes
HPV16	vaccine_target_2vHPV_and_4vHPV	v2	nAb	neutralizing_antibody	200.0	4	0.05	low	yes
HPV18	vaccine_target_2vHPV_and_4vHPV	v1	ADCP	antibody_dependent_cellular_phagocytosis	4.035025	1	0.0125	none	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v2	ADCP	antibody_dependent_cellular_phagocytosis	23.05555	1	0.0125	none	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v1	FcgR2A	fc_gamma_receptor_binding	1.0	7	0.0875	low	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v2	FcgR2A	fc_gamma_receptor_binding	1.0	4	0.05	low	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v1	FcgR2B	fc_gamma_receptor_binding	1.0	1	0.0125	none	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v2	FcgR2B	fc_gamma_receptor_binding	25.0	1	0.0125	none	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v1	FcgR3A	fc_gamma_receptor_binding	1.0	10	0.125	low	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v2	FcgR3A	fc_gamma_receptor_binding	1.0	2	0.025	none	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v1	IgA1	antibody_isotype_or_subclass	1.0	1	0.0125	none	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v2	IgA1	antibody_isotype_or_subclass	86.30000000000001	1	0.0125	none	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v1	IgA2	antibody_isotype_or_subclass	1.0	38	0.475	high	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v2	IgA2	antibody_isotype_or_subclass	1.0	10	0.125	low	no
