analysis_layer	predictor_representation	antigen_target	analysis_stratum	predictor_feature	functional_outcome	feature_pair	participants	spearman_rho	spearman_p_value	correlation_status	correlation_direction	correlation_strength	predictor_floor_severity	outcome_floor_severity	pair_maximum_floor_severity	floor_sensitive_pair	bh_q_value	fdr_significant
predictor_function	raw_predictor	HPV16	recall_dose1	IgG3	ADCP	IgG3__ADCP	20	0.5187969924812029	0.019088394384192506	estimated	positive	moderate	none	none	none	False	0.03817678876838501	True
predictor_function	raw_predictor	HPV16	recall_dose1	FcgR2A	ADCP	FcgR2A__ADCP	20	-0.07669172932330826	0.7479334475419401	estimated	negative	very_weak	low	none	low	False	0.7479334475419401	False
predictor_function	raw_predictor	HPV16	recall_dose1	FcgR2B	ADCP	FcgR2B__ADCP	20	0.1518796992481203	0.5226819111403139	estimated	positive	very_weak	moderate	none	moderate	True	0.6272182933683766	False
predictor_function	raw_predictor	HPV16	recall_dose1	FcgR3A	ADCP	FcgR3A__ADCP	20	0.18045112781954886	0.4464646102705483	estimated	positive	very_weak	low	none	low	False	0.6272182933683766	False
predictor_function	raw_predictor	HPV16	recall_dose1	IgG	nAb	IgG__nAb	20	0.6284236980346465	0.0030026721291049768	estimated	positive	strong	none	moderate	moderate	True	0.00900801638731493	True
predictor_function	raw_predictor	HPV16	recall_dose1	IgG1	nAb	IgG1__nAb	20	0.6634022495373735	0.0014289182248554985	estimated	positive	strong	none	moderate	moderate	True	0.008573509349132992	True
predictor_function	raw_predictor	HPV16	recall_dose1	IgG3	nAb	IgG3__nAb	20	0.5967591011820209	0.00547496628738278	estimated	positive	moderate	none	moderate	moderate	True	0.01094993257476556	True
predictor_function	raw_predictor	HPV16	recall_dose1	FcgR2A	nAb	FcgR2A__nAb	20	0.032564265673638196	0.8915919031347304	estimated	positive	very_weak	low	moderate	moderate	True	0.8915919031347304	False
predictor_function	raw_predictor	HPV16	recall_dose1	FcgR2B	nAb	FcgR2B__nAb	20	0.287019923030439	0.21983664104531764	estimated	positive	weak	moderate	moderate	moderate	True	0.26380396925438115	False
predictor_function	raw_predictor	HPV16	recall_dose1	FcgR3A	nAb	FcgR3A__nAb	20	0.3892565710755821	0.0898135916051699	estimated	positive	weak	low	moderate	moderate	True	0.13472038740775485	False
predictor_function	raw_predictor	HPV16	recall_dose2	IgG	ADCP	IgG__ADCP	21	0.5825752650035353	0.005583660639847703	estimated	positive	moderate	none	none	none	False	0.024977446851184183	True
predictor_function	raw_predictor	HPV16	recall_dose2	IgG1	ADCP	IgG1__ADCP	21	0.5324675324675324	0.01295751978995037	estimated	positive	moderate	none	none	none	False	0.02591503957990074	True
predictor_function	raw_predictor	HPV16	recall_dose2	IgG3	ADCP	IgG3__ADCP	21	0.448051948051948	0.04165618995678563	estimated	positive	moderate	none	none	none	False	0.06248428493517845	False
predictor_function	raw_predictor	HPV16	recall_dose2	FcgR2A	ADCP	FcgR2A__ADCP	21	0.16233766233766234	0.4820201872355596	estimated	positive	very_weak	low	none	low	False	0.4820201872355596	False
predictor_function	raw_predictor	HPV16	recall_dose2	FcgR2B	ADCP	FcgR2B__ADCP	21	0.3506493506493506	0.11912829331739887	estimated	positive	weak	moderate	none	moderate	True	0.14295395198087862	False
predictor_function	raw_predictor	HPV16	recall_dose2	FcgR3A	ADCP	FcgR3A__ADCP	21	0.5597402597402598	0.008325815617061394	estimated	positive	moderate	low	none	low	False	0.024977446851184183	True
predictor_function	raw_predictor	HPV16	recall_dose2	IgG	nAb	IgG__nAb	21	0.5067597859672013	0.019055502412429662	estimated	positive	moderate	none	moderate	moderate	True	0.04305065482005575	True
predictor_function	raw_predictor	HPV16	recall_dose2	IgG1	nAb	IgG1__nAb	21	0.49822416654065504	0.021525327410027877	estimated	positive	moderate	none	moderate	moderate	True	0.04305065482005575	True
predictor_function	raw_predictor	HPV16	recall_dose2	IgG3	nAb	IgG3__nAb	21	0.22187057745815733	0.3337437254843594	estimated	positive	weak	none	moderate	moderate	True	0.4004924705812312	False
predictor_function	raw_predictor	HPV16	recall_dose2	FcgR2A	nAb	FcgR2A__nAb	21	0.026256873071971276	0.9100501908020635	estimated	positive	very_weak	low	moderate	moderate	True	0.9100501908020635	False
predictor_function	raw_predictor	HPV16	recall_dose2	FcgR2B	nAb	FcgR2B__nAb	21	0.24615818504973072	0.28209474246334765	estimated	positive	weak	moderate	moderate	moderate	True	0.4004924705812312	False
predictor_function	raw_predictor	HPV16	recall_dose2	FcgR3A	nAb	FcgR3A__nAb	21	0.5428608507630062	0.010993891038399463	estimated	positive	moderate	low	moderate	moderate	True	0.04305065482005575	True
predictor_function	raw_predictor	HPV16	recall_dose3	IgG	ADCP	IgG__ADCP	19	0.38350157268017937	0.10505308948563175	estimated	positive	weak	none	none	none	False	0.2101061789712635	False
predictor_function	raw_predictor	HPV16	recall_dose3	IgG1	ADCP	IgG1__ADCP	19	0.8210526315789475	1.6458315542988976e-05	estimated	positive	very_strong	none	none	none	False	4.937494662896693e-05	True
predictor_function	raw_predictor	HPV16	recall_dose3	IgG3	ADCP	IgG3__ADCP	19	0.8350877192982457	8.647203091664366e-06	estimated	positive	very_strong	none	none	none	False	4.937494662896693e-05	True
predictor_function	raw_predictor	HPV16	recall_dose3	FcgR2A	ADCP	FcgR2A__ADCP	19	0.18070175438596495	0.4591089856621523	estimated	positive	very_weak	low	none	low	False	0.4591089856621523	False
predictor_function	raw_predictor	HPV16	recall_dose3	FcgR2B	ADCP	FcgR2B__ADCP	19	0.2596491228070175	0.28304842984092177	estimated	positive	weak	moderate	none	moderate	True	0.3396581158091061	False
predictor_function	raw_predictor	HPV16	recall_dose3	FcgR3A	ADCP	FcgR3A__ADCP	19	0.3368421052631579	0.15848304296395407	estimated	positive	weak	low	none	low	False	0.23772456444593112	False
predictor_function	raw_predictor	HPV16	recall_dose3	IgG	nAb	IgG__nAb	19	0.39341293723517134	0.0956309160743634	estimated	positive	weak	none	moderate	moderate	True	0.1912618321487268	False
predictor_function	raw_predictor	HPV16	recall_dose3	IgG1	nAb	IgG1__nAb	19	0.812787435896224	2.3444753183117747e-05	estimated	positive	very_strong	none	moderate	moderate	True	0.0001406685190987065	True
predictor_function	raw_predictor	HPV16	recall_dose3	IgG3	nAb	IgG3__nAb	19	0.6286402824509859	0.003940315489968483	estimated	positive	strong	none	moderate	moderate	True	0.01182094646990545	True
