analysis_type	mechanistic_axis	metric	comparison	raw_effect	bpv_calibrated_effect	raw_q_value	bpv_calibrated_q_value	bpv_calibration_status	evidence_grade	claim_readiness	interpretation_guardrail
recall_dose_trend	global_shared_serology	median_cross_reactive_score		-0.3503233079307067	-0.3418341945370135	0.0291289292519316	0.1560313711723873	attenuated_after_bpv_calibration	B1_raw_only_attenuated_after_bpv_calibration	qualified_raw_only	Raw association did not remain FDR significant after matched BPV calibration and should not be promoted as an HPV-associated breadth effect.
primary_vs_recall	binding_antibody_abundance	minimum_cross_reactive_score		0.1867101176232253	0.4578062405737767	0.0289720894671882	0.1977857773763807	attenuated_after_bpv_calibration	B1_raw_only_attenuated_after_bpv_calibration	qualified_raw_only	Raw association did not remain FDR significant after matched BPV calibration and should not be promoted as an HPV-associated breadth effect.
recall_dose_trend	igg_subclass_architecture	mean_cross_reactive_score		-0.3509717818705027	-0.2563830149248032	0.0291289292519316	0.2447357514303746	attenuated_after_bpv_calibration	B1_raw_only_attenuated_after_bpv_calibration	qualified_raw_only	Raw association did not remain FDR significant after matched BPV calibration and should not be promoted as an HPV-associated breadth effect.
recall_dose_trend	igg_subclass_architecture	minimum_cross_reactive_score		-0.3650318759288071	-0.166127232940468	0.0291289292519316	0.2824467078921192	attenuated_after_bpv_calibration	B1_raw_only_attenuated_after_bpv_calibration	qualified_raw_only	Raw association did not remain FDR significant after matched BPV calibration and should not be promoted as an HPV-associated breadth effect.
recall_dose_trend	igg_subclass_architecture	twofold_antigen_count		-0.3539191044106642	-0.1666241588385287	0.0291289292519316	0.2824467078921192	attenuated_after_bpv_calibration	B1_raw_only_attenuated_after_bpv_calibration	qualified_raw_only	Raw association did not remain FDR significant after matched BPV calibration and should not be promoted as an HPV-associated breadth effect.
primary_vs_recall	binding_antibody_abundance	mean_cross_reactive_score		0.6991240427476955	0.2000517427776864	0.0316698366831791	0.3586276973934602	attenuated_after_bpv_calibration	B1_raw_only_attenuated_after_bpv_calibration	qualified_raw_only	Raw association did not remain FDR significant after matched BPV calibration and should not be promoted as an HPV-associated breadth effect.
recall_dose_trend	igg_subclass_architecture	positive_antigen_count		-0.3724217182310013	-0.1130641275897825	0.0291289292519316	0.4922741846206505	attenuated_after_bpv_calibration	B1_raw_only_attenuated_after_bpv_calibration	qualified_raw_only	Raw association did not remain FDR significant after matched BPV calibration and should not be promoted as an HPV-associated breadth effect.
recall_dose_trend	fc_receptor_communication	positive_antigen_count		0.0014318635495359	-0.2098646252593659	0.99133685636319	0.2592698104819615	direction_changed_after_bpv_calibration	C1_direction_unstable_after_bpv_calibration	exploratory_direction_unstable	Effect direction differed after BPV calibration; both raw and calibrated results were non-robust and this comparison is exploratory.
recall_dose_pairwise	igg_subclass_architecture	median_cross_reactive_score	dose2_minus_dose1	0.3384025588624224	-0.4147403201650887	0.8908925185229098	0.4909476951479356	direction_changed_after_bpv_calibration	C1_direction_unstable_after_bpv_calibration	exploratory_direction_unstable	Effect direction differed after BPV calibration; both raw and calibrated results were non-robust and this comparison is exploratory.
recall_dose_pairwise	igg_subclass_architecture	minimum_cross_reactive_score	dose2_minus_dose1	-0.2796900209659517	0.0789547614878989	0.6394824880094281	0.8336949832637034	direction_changed_after_bpv_calibration	C1_direction_unstable_after_bpv_calibration	exploratory_direction_unstable	Effect direction differed after BPV calibration; both raw and calibrated results were non-robust and this comparison is exploratory.
recall_dose_pairwise	fc_receptor_communication	median_cross_reactive_score	dose3_minus_dose2	-0.0477413367201773	0.0886538806869734	0.9108839511975532	0.9127359416182445	direction_changed_after_bpv_calibration	C1_direction_unstable_after_bpv_calibration	exploratory_direction_unstable	Effect direction differed after BPV calibration; both raw and calibrated results were non-robust and this comparison is exploratory.
recall_dose_pairwise	global_shared_serology	minimum_cross_reactive_score	dose3_minus_dose2	-0.1670371879330043	0.0174551696526098	0.5091950573961057	0.9672776364949917	direction_changed_after_bpv_calibration	C1_direction_unstable_after_bpv_calibration	exploratory_direction_unstable	Effect direction differed after BPV calibration; both raw and calibrated results were non-robust and this comparison is exploratory.
