analysis_context	antigen_group	antigen_target	previous_4vHPV_doses	feature	outcome_family	mechanistic_axis	raw_effect_log2	raw_geometric_mean_ratio	raw_q_value	maximum_floor_severity	floor_status	bpv_status	method_status	evidence_grade	claim_readiness	evidence_priority_score	interpretation_guardrail	biological_summary
heterologous_2vHPV_recall	vaccine_type	HPV16	3	IgG3	IgG subclass architecture	IgG subclass architecture	3.4573693003651584	10.984286842523984	5.0068601801836326e-05	none	not_required	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	claim_ready	15.757803836751862	May support a primary HPV-associated systems-serology claim.	Heterologous 2vHPV recall: HPV16 IgG3 increased by 3.46 log2 units (10.98-fold; q=5.01e-05); floor=not_required; BPV calibration=bpv_calibrated_supported.
heterologous_2vHPV_recall	vaccine_type	HPV18	1	IgG1	IgG subclass architecture	IgG subclass architecture	2.638168749138557	6.225409543497324	4.245552699580788e-05	none	not_required	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	claim_ready	15.0102345130384	May support a primary HPV-associated systems-serology claim.	Heterologous 2vHPV recall: HPV18 IgG1 increased by 2.64 log2 units (6.23-fold; q=4.25e-05); floor=not_required; BPV calibration=bpv_calibrated_supported.
heterologous_2vHPV_recall	vaccine_type	HPV18	3	nAb	Neutralization	Neutralizing-antibody function	5.157894736842105	35.7010533683694	5.314191828098369e-13	high	supported	not_available_for_unshared_assay	not_applicable	A2_robust_without_bpv_calibration	claim_ready	23.432457509616743	May support a primary claim, but BPV calibration was unavailable for this assay feature.	Heterologous 2vHPV recall: HPV18 nAb increased by 5.16 log2 units (35.70-fold; q=5.31e-13); floor=supported; BPV calibration=not_available_for_unshared_assay.
heterologous_2vHPV_recall	vaccine_type	HPV18	1	nAb	Neutralization	Neutralizing-antibody function	6.1	68.59350160232275	1.644778503536252e-10	high	supported	not_available_for_unshared_assay	not_applicable	A2_robust_without_bpv_calibration	claim_ready	21.88389257866767	May support a primary claim, but BPV calibration was unavailable for this assay feature.	Heterologous 2vHPV recall: HPV18 nAb increased by 6.10 log2 units (68.59-fold; q=1.64e-10); floor=supported; BPV calibration=not_available_for_unshared_assay.
heterologous_2vHPV_recall	vaccine_type	HPV18	2	nAb	Neutralization	Neutralizing-antibody function	5.238095238095238	37.74190236471566	2.98999136109746e-11	high	supported	not_available_for_unshared_assay	not_applicable	A2_robust_without_bpv_calibration	claim_ready	21.76242530456449	May support a primary claim, but BPV calibration was unavailable for this assay feature.	Heterologous 2vHPV recall: HPV18 nAb increased by 5.24 log2 units (37.74-fold; q=2.99e-11); floor=supported; BPV calibration=not_available_for_unshared_assay.
heterologous_2vHPV_recall	vaccine_type	HPV16	1	ADCP	Phagocytic function	Phagocyte-directed Fc effector function	1.76210230770852	3.391920385662906	6.217748266197757e-08	none	not_required	not_available_for_unshared_assay	not_applicable	A2_robust_without_bpv_calibration	claim_ready	14.96846917263472	May support a primary claim, but BPV calibration was unavailable for this assay feature.	Heterologous 2vHPV recall: HPV16 ADCP increased by 1.76 log2 units (3.39-fold; q=6.22e-08); floor=not_required; BPV calibration=not_available_for_unshared_assay.
heterologous_2vHPV_recall	vaccine_type	HPV18	1	ADCP	Phagocytic function	Phagocyte-directed Fc effector function	0.9053317994925928	1.8729752031942413	3.360945453429622e-07	none	not_required	not_available_for_unshared_assay	not_applicable	A2_robust_without_bpv_calibration	claim_ready	13.37887033536193	May support a primary claim, but BPV calibration was unavailable for this assay feature.	Heterologous 2vHPV recall: HPV18 ADCP increased by 0.91 log2 units (1.87-fold; q=3.36e-07); floor=not_required; BPV calibration=not_available_for_unshared_assay.
heterologous_2vHPV_recall	vaccine_type	HPV18	3	ADCP	Phagocytic function	Phagocyte-directed Fc effector function	0.6044473078441164	1.5203961824267191	3.360945453429622e-07	none	not_required	not_available_for_unshared_assay	not_applicable	A2_robust_without_bpv_calibration	claim_ready	13.077985843713453	May support a primary claim, but BPV calibration was unavailable for this assay feature.	Heterologous 2vHPV recall: HPV18 ADCP increased by 0.60 log2 units (1.52-fold; q=3.36e-07); floor=not_required; BPV calibration=not_available_for_unshared_assay.
primary_2vHPV_induction	cross_reactive_type	HPV52	0	IgA2	Antibody abundance	Binding-antibody abundance	3.571645274820687	11.889740105269754	0.0002494718632155	high	supported	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	claim_ready	15.17462370417719	May support a primary HPV-associated systems-serology claim.	Primary 2vHPV induction: HPV52 IgA2 increased by 3.57 log2 units (11.89-fold; q=0.000249); floor=supported; BPV calibration=bpv_calibrated_supported.
primary_2vHPV_induction	cross_reactive_type	HPV33	0	IgA2	Antibody abundance	Binding-antibody abundance	2.555031063246548	5.876801067515871	0.0027408215645134	high	supported	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	claim_ready	13.117150300625577	May support a primary HPV-associated systems-serology claim.	Primary 2vHPV induction: HPV33 IgA2 increased by 2.56 log2 units (5.88-fold; q=0.00274); floor=supported; BPV calibration=bpv_calibrated_supported.
primary_2vHPV_induction	cross_reactive_type	HPV31	0	IgM	Antibody abundance	Binding-antibody abundance	1.5753647784969116	2.980108337042	0.0003536864227442	none	not_required	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	claim_ready	13.026746389986794	May support a primary HPV-associated systems-serology claim.	Primary 2vHPV induction: HPV31 IgM increased by 1.58 log2 units (2.98-fold; q=0.000354); floor=not_required; BPV calibration=bpv_calibrated_supported.
primary_2vHPV_induction	cross_reactive_type	HPV31	0	FcgR2B	Fc-receptor engagement	Fc-receptor communication	2.3336024071487924	5.040624227431785	0.0144529596490535	moderate	supported	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	claim_ready	12.173645616967184	May support a primary HPV-associated systems-serology claim.	Primary 2vHPV induction: HPV31 FcgR2B increased by 2.33 log2 units (5.04-fold; q=0.0145); floor=supported; BPV calibration=bpv_calibrated_supported.
primary_2vHPV_induction	cross_reactive_type	HPV31	0	FcgR3A	Fc-receptor engagement	Fc-receptor communication	2.0160363294119827	4.044710174515821	0.0144529596490535	moderate	supported	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	claim_ready	11.856079539230375	May support a primary HPV-associated systems-serology claim.	Primary 2vHPV induction: HPV31 FcgR3A increased by 2.02 log2 units (4.04-fold; q=0.0145); floor=supported; BPV calibration=bpv_calibrated_supported.
primary_2vHPV_induction	cross_reactive_type	HPV31	0	IgG1	IgG subclass architecture	IgG subclass architecture	1.973137563655733	3.926210609050766	0.0145137590612122	none	not_required	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	claim_ready	11.811357654449589	May support a primary HPV-associated systems-serology claim.	Primary 2vHPV induction: HPV31 IgG1 increased by 1.97 log2 units (3.93-fold; q=0.0145); floor=not_required; BPV calibration=bpv_calibrated_supported.
primary_2vHPV_induction	cross_reactive_type	HPV45	0	IgG1	IgG subclass architecture	IgG subclass architecture	1.1725152600167807	2.254043347150666	0.0324164345712648	none	not_required	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	claim_ready	10.66175001419206	May support a primary HPV-associated systems-serology claim.	Primary 2vHPV induction: HPV45 IgG1 increased by 1.17 log2 units (2.25-fold; q=0.0324); floor=not_required; BPV calibration=bpv_calibrated_supported.
primary_2vHPV_induction	vaccine_type	HPV16	0	IgA2	Antibody abundance	Binding-antibody abundance	9.639142316027357	797.3903390975588	1.4126044431410598e-10	high	supported	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	claim_ready	27.489121748100168	May support a primary HPV-associated systems-serology claim.	Primary 2vHPV induction: HPV16 IgA2 increased by 9.64 log2 units (797.39-fold; q=1.41e-10); floor=supported; BPV calibration=bpv_calibrated_supported.
primary_2vHPV_induction	vaccine_type	HPV16	0	IgG	Antibody abundance	Binding-antibody abundance	6.454572587157871	87.70411244850604	4.953938206011147e-10	none	not_required	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	claim_ready	23.75962200213772	May support a primary HPV-associated systems-serology claim.	Primary 2vHPV induction: HPV16 IgG increased by 6.45 log2 units (87.70-fold; q=4.95e-10); floor=not_required; BPV calibration=bpv_calibrated_supported.
primary_2vHPV_induction	vaccine_type	HPV16	0	IgA1	Antibody abundance	Binding-antibody abundance	5.513085080474395	45.66715724611298	2.4788519931586225e-08	none	not_required	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	claim_ready	21.118834483707957	May support a primary HPV-associated systems-serology claim.	Primary 2vHPV induction: HPV16 IgA1 increased by 5.51 log2 units (45.67-fold; q=2.48e-08); floor=not_required; BPV calibration=bpv_calibrated_supported.
primary_2vHPV_induction	vaccine_type	HPV16	0	FcgR2B	Fc-receptor engagement	Fc-receptor communication	7.728529739934484	212.08955168930208	3.594033731040495e-07	moderate	supported	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	claim_ready	22.17294759116375	May support a primary HPV-associated systems-serology claim.	Primary 2vHPV induction: HPV16 FcgR2B increased by 7.73 log2 units (212.09-fold; q=3.59e-07); floor=supported; BPV calibration=bpv_calibrated_supported.
primary_2vHPV_induction	vaccine_type	HPV16	0	FcgR3A	Fc-receptor engagement	Fc-receptor communication	6.662738455416481	101.31742144355236	2.473322133426221e-07	low	not_required	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	claim_ready	21.26945777146178	May support a primary HPV-associated systems-serology claim.	Primary 2vHPV induction: HPV16 FcgR3A increased by 6.66 log2 units (101.32-fold; q=2.47e-07); floor=not_required; BPV calibration=bpv_calibrated_supported.
primary_2vHPV_induction	vaccine_type	HPV18	0	FcgR3A	Fc-receptor engagement	Fc-receptor communication	3.8067782894436752	13.994405440334916	2.761353402105937e-06	low	not_required	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	claim_ready	17.36565629759516	May support a primary HPV-associated systems-serology claim.	Primary 2vHPV induction: HPV18 FcgR3A increased by 3.81 log2 units (13.99-fold; q=2.76e-06); floor=not_required; BPV calibration=bpv_calibrated_supported.
primary_2vHPV_induction	vaccine_type	HPV16	0	IgG1	IgG subclass architecture	IgG subclass architecture	6.35407373764079	81.80254015087215	8.790482984454442e-10	none	not_required	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	claim_ready	23.410061000027675	May support a primary HPV-associated systems-serology claim.	Primary 2vHPV induction: HPV16 IgG1 increased by 6.35 log2 units (81.80-fold; q=8.79e-10); floor=not_required; BPV calibration=bpv_calibrated_supported.
primary_2vHPV_induction	vaccine_type	HPV16	0	IgG3	IgG subclass architecture	IgG subclass architecture	6.048283248858004	66.17815881068151	5.455941197248974e-07	none	not_required	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	claim_ready	20.311413567900185	May support a primary HPV-associated systems-serology claim.	Primary 2vHPV induction: HPV16 IgG3 increased by 6.05 log2 units (66.18-fold; q=5.46e-07); floor=not_required; BPV calibration=bpv_calibrated_supported.
primary_2vHPV_induction	vaccine_type	HPV18	0	IgG1	IgG subclass architecture	IgG subclass architecture	3.767649968659086	13.6199544056478	4.966374258827252e-09	none	not_required	bpv_calibrated_supported	not_applicable	A1_robust_bpv_calibrated	claim_ready	20.07161052439926	May support a primary HPV-associated systems-serology claim.	Primary 2vHPV induction: HPV18 IgG1 increased by 3.77 log2 units (13.62-fold; q=4.97e-09); floor=not_required; BPV calibration=bpv_calibrated_supported.
primary_2vHPV_induction	vaccine_type	HPV16	0	nAb	Neutralization	Neutralizing-antibody function	5.1	34.29675080116137	6.249818400229183e-08	moderate	supported	not_available_for_unshared_assay	not_applicable	A2_robust_without_bpv_calibration	claim_ready	18.3041326016838	May support a primary claim, but BPV calibration was unavailable for this assay feature.	Primary 2vHPV induction: HPV16 nAb increased by 5.10 log2 units (34.30-fold; q=6.25e-08); floor=supported; BPV calibration=not_available_for_unshared_assay.
primary_2vHPV_induction	vaccine_type	HPV18	0	nAb	Neutralization	Neutralizing-antibody function	3.900000000000001	14.928527864588927	3.491551032547018e-07	high	supported	not_available_for_unshared_assay	not_applicable	A2_robust_without_bpv_calibration	claim_ready	16.35698160592381	May support a primary claim, but BPV calibration was unavailable for this assay feature.	Primary 2vHPV induction: HPV18 nAb increased by 3.90 log2 units (14.93-fold; q=3.49e-07); floor=supported; BPV calibration=not_available_for_unshared_assay.
primary_2vHPV_induction	vaccine_type	HPV16	0	ADCP	Phagocytic function	Phagocyte-directed Fc effector function	1.583857027805997	2.9977021141931925	5.605930448184137e-07	none	not_required	not_available_for_unshared_assay	not_applicable	A2_robust_without_bpv_calibration	claim_ready	13.83520932256532	May support a primary claim, but BPV calibration was unavailable for this assay feature.	Primary 2vHPV induction: HPV16 ADCP increased by 1.58 log2 units (3.00-fold; q=5.61e-07); floor=not_required; BPV calibration=not_available_for_unshared_assay.
primary_2vHPV_induction	vaccine_type	HPV18	0	ADCP	Phagocytic function	Phagocyte-directed Fc effector function	0.6181995887552679	1.5349584341901366	5.605930448184137e-07	none	not_required	not_available_for_unshared_assay	not_applicable	A2_robust_without_bpv_calibration	claim_ready	12.869551883514593	May support a primary claim, but BPV calibration was unavailable for this assay feature.	Primary 2vHPV induction: HPV18 ADCP increased by 0.62 log2 units (1.53-fold; q=5.61e-07); floor=not_required; BPV calibration=not_available_for_unshared_assay.
