antigen_target	antigen_class	feature	assay_family	outcome_family	maximum_floor_severity	fit_method	coefficient	estimate	standard_error	test_statistic	p_value
BPV	heterologous_control_antigen	IgA1	antibody_isotype_or_subclass	Antibody abundance	low	mixedlm_powell	visit_v2_dose3	0.15615625034160951	0.7824920786842614	0.1995627235028141	0.8418225836245862
BPV	heterologous_control_antigen	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	mixedlm_lbfgs	intercept	3.8105988529488037	0.7073145136124243	5.387417873679935	7.147711836679902e-08
BPV	heterologous_control_antigen	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	mixedlm_lbfgs	visit_v2	0.9365258917708117	0.5402757492941604	1.733422040493821	0.08302068292199451
BPV	heterologous_control_antigen	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	mixedlm_lbfgs	dose1	-1.0299930524525875	1.000293778014021	-1.0296905520071626	0.30315529213309356
BPV	heterologous_control_antigen	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	mixedlm_lbfgs	dose2	-0.684601143853938	0.9883137796468828	-0.6926961436261072	0.48850025971438227
BPV	heterologous_control_antigen	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	mixedlm_lbfgs	dose3	-0.3490391578820461	1.0133700686714522	-0.34443405096781987	0.7305198846876999
BPV	heterologous_control_antigen	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	mixedlm_lbfgs	visit_v2_dose1	-0.8167687839674743	0.764065292073086	-1.0689777332397752	0.28507970296308105
BPV	heterologous_control_antigen	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	mixedlm_lbfgs	visit_v2_dose2	-0.1569876832736253	0.7549144794292288	-0.2079542617758764	0.8352646803891398
BPV	heterologous_control_antigen	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	mixedlm_lbfgs	visit_v2_dose3	-0.9625815566322071	0.7740534975983059	-1.2435594692341765	0.21366174099807334
BPV	heterologous_control_antigen	IgG	antibody_isotype_or_subclass	Antibody abundance	none	mixedlm_powell	intercept	8.147854291914916	0.22561013393844404	36.114753134883536	1.3308215426209477e-285
BPV	heterologous_control_antigen	IgG	antibody_isotype_or_subclass	Antibody abundance	none	mixedlm_powell	visit_v2	-0.07525718447832072	0.24285465952365248	-0.3098856930558137	0.7566478829213126
BPV	heterologous_control_antigen	IgG	antibody_isotype_or_subclass	Antibody abundance	none	mixedlm_powell	dose1	-0.21314282235800713	0.319060911224558	-0.6680317608946941	0.5041133188443125
BPV	heterologous_control_antigen	IgG	antibody_isotype_or_subclass	Antibody abundance	none	mixedlm_powell	dose2	0.407163714571919	0.31523968462143276	1.2916004374921153	0.19649555246974149
BPV	heterologous_control_antigen	IgG	antibody_isotype_or_subclass	Antibody abundance	none	mixedlm_powell	dose3	0.36450579670847616	0.3232318191161181	1.1276915673253405	0.2594502002086321
BPV	heterologous_control_antigen	IgG	antibody_isotype_or_subclass	Antibody abundance	none	mixedlm_powell	visit_v2_dose1	1.0825898313639688	0.3434483531838498	3.1521182772550738	0.0016209060137331098
BPV	heterologous_control_antigen	IgG	antibody_isotype_or_subclass	Antibody abundance	none	mixedlm_powell	visit_v2_dose2	0.6965766855884482	0.33933505087129545	2.0527696263615542	0.040094925647987084
BPV	heterologous_control_antigen	IgG	antibody_isotype_or_subclass	Antibody abundance	none	mixedlm_powell	visit_v2_dose3	1.3464102337795825	0.34793806469736593	3.8696836316276015	0.0001089766741990549
BPV	heterologous_control_antigen	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	mixedlm_lbfgs	intercept	7.6364165687458465	0.20901255954260123	36.535682762113545	3.010063621442268e-292
BPV	heterologous_control_antigen	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	mixedlm_lbfgs	visit_v2	0.14822333606418747	0.18698736193507046	0.7926917334426943	0.4279574477581204
BPV	heterologous_control_antigen	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	mixedlm_lbfgs	dose1	-0.7704340409282932	0.2955883964114609	-2.606442100845678	0.009148829004767354
BPV	heterologous_control_antigen	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	mixedlm_lbfgs	dose2	-0.08497921308486858	0.2920482879111512	-0.290976583676195	0.7710692285346983
BPV	heterologous_control_antigen	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	mixedlm_lbfgs	dose3	0.13627546334795781	0.2994524610206742	0.4550821285070332	0.6490501546892797
BPV	heterologous_control_antigen	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	mixedlm_lbfgs	visit_v2_dose1	1.0486760485833746	0.26444006324094377	3.965647397489376	7.319700204716601e-05
BPV	heterologous_control_antigen	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	mixedlm_lbfgs	visit_v2_dose2	0.3531598813877592	0.2612730021280354	1.3516891470275034	0.17647477839296388
BPV	heterologous_control_antigen	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	mixedlm_lbfgs	visit_v2_dose3	0.7161080655179484	0.2678969428141362	2.6730729286999586	0.007515990886780085
BPV	heterologous_control_antigen	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	high	mixedlm_lbfgs	intercept	3.523011509253448	0.6313489419645186	5.580133702752668	2.4033377052063057e-08
BPV	heterologous_control_antigen	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	high	mixedlm_lbfgs	visit_v2	0.7840438471067124	0.4422741164458217	1.7727554427272418	0.07626923962846083
BPV	heterologous_control_antigen	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	high	mixedlm_lbfgs	dose1	-0.16930543577989635	0.892862236316126	-0.18962100634744755	0.8496061251685042
BPV	heterologous_control_antigen	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	high	mixedlm_lbfgs	dose2	-0.9878994842632476	0.8821688896531253	-1.1198530075705755	0.2627764063447442
BPV	heterologous_control_antigen	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	high	mixedlm_lbfgs	dose3	-1.6760426042745618	0.9045341334884686	-1.8529346126615007	0.06389173128106415
BPV	heterologous_control_antigen	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	high	mixedlm_lbfgs	visit_v2_dose1	-1.435310313855019	0.6254700537642571	-2.2947706372461996	0.021746272224562536
BPV	heterologous_control_antigen	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	high	mixedlm_lbfgs	visit_v2_dose2	0.10045696413067352	0.6179791242118747	0.16255721301069673	0.8708670778604947
BPV	heterologous_control_antigen	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	high	mixedlm_lbfgs	visit_v2_dose3	-0.6489452501567641	0.6336464799305567	-1.0241440151737038	0.30576725737081534
BPV	heterologous_control_antigen	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	low	mixedlm_powell	intercept	7.641480912135298	0.5060236266627435	15.10103582026659	1.5940939580927026e-51
BPV	heterologous_control_antigen	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	low	mixedlm_powell	visit_v2	-1.2640528539383427	0.6773783648748452	-1.8660956999592002	0.062027977489854155
BPV	heterologous_control_antigen	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	low	mixedlm_powell	dose1	-1.9286430381554098	0.7156254757076714	-2.6950452487010796	0.007037907289735427
BPV	heterologous_control_antigen	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	low	mixedlm_powell	dose2	-0.7788828892166673	0.7070548015528431	-1.1015877234778328	0.2706409478928823
BPV	heterologous_control_antigen	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	low	mixedlm_powell	dose3	-1.18857592052154	0.7249804541429014	-1.6394592622868962	0.1011176481799673
BPV	heterologous_control_antigen	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	low	mixedlm_powell	visit_v2_dose1	3.6745130566199156	0.9579576704641173	3.8357781036814127	0.00012516738051777306
BPV	heterologous_control_antigen	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	low	mixedlm_powell	visit_v2_dose2	2.5488919174898497	0.9464847096398156	2.6930090803683764	0.007081034045985176
BPV	heterologous_control_antigen	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	low	mixedlm_powell	visit_v2_dose3	2.141916075010394	0.9704805244614446	2.2070675516121483	0.027309340320441654
BPV	heterologous_control_antigen	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	high	mixedlm_lbfgs	intercept	1.1668562162599394	0.4252583791241152	2.743875896492054	0.0060718487781743526
BPV	heterologous_control_antigen	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	high	mixedlm_lbfgs	visit_v2	0.19903929810108603	0.33078410725256546	0.6017196525984014	0.547360766000931
BPV	heterologous_control_antigen	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	high	mixedlm_lbfgs	dose1	0.21404111673306753	0.6014061672701243	0.3559011004237507	0.7219146316709331
BPV	heterologous_control_antigen	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	high	mixedlm_lbfgs	dose2	-0.41261029184589304	0.5942034383716326	-0.6943922993387901	0.48743622168046374
BPV	heterologous_control_antigen	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	high	mixedlm_lbfgs	dose3	0.25299338009891315	0.6092680194771921	0.4152415226323625	0.6779651048816838
BPV	heterologous_control_antigen	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	high	mixedlm_lbfgs	visit_v2_dose1	-0.3722834285356196	0.4677993706940545	-0.795818574923002	0.426137493704826
BPV	heterologous_control_antigen	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	high	mixedlm_lbfgs	visit_v2_dose2	0.07560223194103571	0.4621967809146902	0.1635715242140338	0.870068463117762
BPV	heterologous_control_antigen	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	high	mixedlm_lbfgs	visit_v2_dose3	-0.9403739627116058	0.47391465469862326	-1.9842685880005508	0.047225905995690626
BPV	heterologous_control_antigen	IgM	antibody_isotype_or_subclass	Antibody abundance	none	mixedlm_lbfgs	intercept	9.691258040247297	0.2244598874486162	43.17590171859032	0.0
BPV	heterologous_control_antigen	IgM	antibody_isotype_or_subclass	Antibody abundance	none	mixedlm_lbfgs	visit_v2	-0.11971997270795437	0.17095239473292936	-0.7003117616163674	0.48373262811051854
BPV	heterologous_control_antigen	IgM	antibody_isotype_or_subclass	Antibody abundance	none	mixedlm_lbfgs	dose1	-0.4326262593319807	0.3174342170385709	-1.3628847682775578	0.172918829856475
BPV	heterologous_control_antigen	IgM	antibody_isotype_or_subclass	Antibody abundance	none	mixedlm_lbfgs	dose2	-0.43492225108010774	0.31363247250573373	-1.3867258310510453	0.16552538083236723
BPV	heterologous_control_antigen	IgM	antibody_isotype_or_subclass	Antibody abundance	none	mixedlm_lbfgs	dose3	-0.6774023159829302	0.3215838600512982	-2.106456200491134	0.03516474389186549
BPV	heterologous_control_antigen	IgM	antibody_isotype_or_subclass	Antibody abundance	none	mixedlm_lbfgs	visit_v2_dose1	0.07102939771428515	0.2417631951514677	0.2937973981928239	0.768912723338073
BPV	heterologous_control_antigen	IgM	antibody_isotype_or_subclass	Antibody abundance	none	mixedlm_lbfgs	visit_v2_dose2	0.3563371317741264	0.2388677230943496	1.491775980270796	0.13575788280982043
BPV	heterologous_control_antigen	IgM	antibody_isotype_or_subclass	Antibody abundance	none	mixedlm_lbfgs	visit_v2_dose3	0.17434255277418456	0.24492363249453147	0.7118241347252483	0.4765736855436079
HPV16	vaccine_target_2vHPV_and_4vHPV	ADCP	antibody_dependent_cellular_phagocytosis	Phagocytic function	none	mixedlm_powell	intercept	4.233294382377519	0.16094400952828994	26.30290120635656	1.7766283317411571e-152
HPV16	vaccine_target_2vHPV_and_4vHPV	ADCP	antibody_dependent_cellular_phagocytosis	Phagocytic function	none	mixedlm_powell	visit_v2	1.5838570278059942	0.19515826378936477	8.115756909558586	4.827662204758573e-16
HPV16	vaccine_target_2vHPV_and_4vHPV	ADCP	antibody_dependent_cellular_phagocytosis	Phagocytic function	none	mixedlm_powell	dose1	0.8076008381940848	0.2276092010576123	3.5481906462545223	0.0003878873510232767
HPV16	vaccine_target_2vHPV_and_4vHPV	ADCP	antibody_dependent_cellular_phagocytosis	Phagocytic function	none	mixedlm_powell	dose2	1.6948487518022883	0.22488324402683926	7.536571962649259	4.8248676280633595e-14
HPV16	vaccine_target_2vHPV_and_4vHPV	ADCP	antibody_dependent_cellular_phagocytosis	Phagocytic function	none	mixedlm_powell	dose3	1.2680654015592439	0.2305846110169186	5.499349657233641	3.811945645793638e-08
HPV16	vaccine_target_2vHPV_and_4vHPV	ADCP	antibody_dependent_cellular_phagocytosis	Phagocytic function	none	mixedlm_powell	visit_v2_dose1	0.17824527990252695	0.2759954634601058	0.6458268468180518	0.5183914993503963
HPV16	vaccine_target_2vHPV_and_4vHPV	ADCP	antibody_dependent_cellular_phagocytosis	Phagocytic function	none	mixedlm_powell	visit_v2_dose2	-0.530402576255921	0.2726900093282665	-1.945075206687965	0.051765927418961584
HPV16	vaccine_target_2vHPV_and_4vHPV	ADCP	antibody_dependent_cellular_phagocytosis	Phagocytic function	none	mixedlm_powell	visit_v2_dose3	-0.10529666890821297	0.27960340042788545	-0.3765929482512528	0.7064761290830561
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	low	mixedlm_lbfgs	intercept	6.97124973128713	0.6140644452492781	11.352635354839942	7.196053914130141e-30
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	low	mixedlm_lbfgs	visit_v2	-0.4252620581827547	0.8660331141634351	-0.49104595566596376	0.6233939444987568
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	low	mixedlm_lbfgs	dose1	3.98265150634565	0.8684182666426409	4.5860982654623665	4.516061115210483e-06
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	low	mixedlm_lbfgs	dose2	5.048036966351057	0.8580176726921045	5.883371784770359	4.019915307697047e-09
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	low	mixedlm_lbfgs	dose3	4.991788734765602	0.8797706212372952	5.673966161481081	1.39528704889528e-08
