previous_4vHPV_doses	prior_4vHPV_exposure_status	response_transition	trajectory	antigen_target	antigen_class	feature	assay_family	outcome_family	paired_floor_severity	v1_floor_fraction	v2_floor_fraction	participants	paired_observations	mean_log2_change	sd_log2_change	se_log2_change	ci95_lower_log2_change	ci95_upper_log2_change	geometric_mean_ratio	geometric_mean_ratio_ci95_lower	geometric_mean_ratio_ci95_upper	median_log2_change	q1_log2_change	q3_log2_change	positive_change_fraction	negative_change_fraction	no_change_fraction	v1_geometric_mean	v2_geometric_mean
0	hpv_vaccine_naive	unvaccinated_baseline_to_primary_2vHPV_response	primary_2vHPV_induction	HPV16	vaccine_target_2vHPV_and_4vHPV	IgG	antibody_isotype_or_subclass	Antibody abundance	none	0.0125	0.0125	20	20	6.454572587157871	2.141023367206544	0.4787473790489326	5.452542806823545	7.456602367492198	87.70411244850604	43.790402546629394	175.6551868229459	6.63670949083212	5.878569431335168	7.421850331752672	1.0	0.0	0.0	192.73351110770977	16903.521530785965
0	hpv_vaccine_naive	unvaccinated_baseline_to_primary_2vHPV_response	primary_2vHPV_induction	HPV16	vaccine_target_2vHPV_and_4vHPV	IgM	antibody_isotype_or_subclass	Antibody abundance	none	0.0125	0.0125	20	20	3.971182214883811	2.1378604472558056	0.47804012864720846	2.970632726652783	4.971731703114839	15.683571382626807	7.8387995103549954	31.379092039415	4.435172370298336	2.8451882913261732	5.3483499417339	0.95	0.05	0.0	602.464690208707	9448.797974400413
0	hpv_vaccine_naive	unvaccinated_baseline_to_primary_2vHPV_response	primary_2vHPV_induction	HPV16	vaccine_target_2vHPV_and_4vHPV	IgA1	antibody_isotype_or_subclass	Antibody abundance	none	0.0125	0.0125	20	20	5.513085080474395	2.36366289619883	0.5285310911794613	4.4068567931331355	6.619313367815655	45.66715724611298	21.212706414142623	98.31320955589156	6.119018809743525	4.1783875671110104	7.082231206087103	1.0	0.0	0.0	141.60193056624607	6466.557629521926
0	hpv_vaccine_naive	unvaccinated_baseline_to_primary_2vHPV_response	primary_2vHPV_induction	HPV16	vaccine_target_2vHPV_and_4vHPV	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	0.3	0.025	20	20	9.639142316027357	2.859650936731494	0.639437388645257	8.300784480304829	10.977500151749885	797.3903390975588	315.34439497141534	2016.3077670803546	10.309310148398737	8.71661591156516	11.71927631071337	1.0	0.0	0.0	1.722390796236717	1373.4177810697097
0	hpv_vaccine_naive	unvaccinated_baseline_to_primary_2vHPV_response	primary_2vHPV_induction	HPV16	vaccine_target_2vHPV_and_4vHPV	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	0.0125	0.0125	20	20	6.35407373764079	2.0931570512574473	0.4680441454194664	5.374446082752888	7.333701392528692	81.80254015087215	41.482935476311916	161.31104268057885	6.703026559400367	5.597693847269375	7.5762488721747685	1.0	0.0	0.0	136.6756191914997	11180.412826557988
0	hpv_vaccine_naive	unvaccinated_baseline_to_primary_2vHPV_response	primary_2vHPV_induction	HPV16	vaccine_target_2vHPV_and_4vHPV	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	moderate	0.15	0.0125	20	20	1.2912135836911287	4.313373546779242	0.9644996462947754	-0.7275073764720976	3.309934543854355	2.447338371491546	0.6039464844732393	9.917211638045863	0.8827673731814898	0.0	3.0976658134367634	0.55	0.2	0.25	4.378999943234302	10.71689458983661
0	hpv_vaccine_naive	unvaccinated_baseline_to_primary_2vHPV_response	primary_2vHPV_induction	HPV16	vaccine_target_2vHPV_and_4vHPV	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	none	0.025	0.0125	20	20	6.048283248858004	3.152865970847082	0.7050022634759946	4.572696552990475	7.523869944725533	66.17815881068151	23.796814406713967	184.0392847849479	5.411395565912562	4.34598548884076	8.316582074857653	1.0	0.0	0.0	61.96419997957186	4100.676666824935
0	hpv_vaccine_naive	unvaccinated_baseline_to_primary_2vHPV_response	primary_2vHPV_induction	HPV16	vaccine_target_2vHPV_and_4vHPV	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	moderate	0.0125	0.1875	20	20	0.819372315259957	1.4795592657490013	0.33083950949544433	0.12691726373736112	1.511827366782553	1.7646380705006466	1.0919579219024536	2.851710178021328	0.0	0.0	1.2092259537621006	0.35	0.0	0.65	1.0566431082468761	1.8645926557445731
0	hpv_vaccine_naive	unvaccinated_baseline_to_primary_2vHPV_response	primary_2vHPV_induction	HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	low	0.05	0.075	20	20	-0.42526205818272117	9.81287023436013	2.1942244898413543	-5.017826696192375	4.167302579826933	0.7447034476987028	0.030866234505305058	17.96731068439907	-0.11694841353077479	-9.977928315891713	9.605260852043685	0.5	0.5	0.0	125.4744429775559	93.44125028346006
0	hpv_vaccine_naive	unvaccinated_baseline_to_primary_2vHPV_response	primary_2vHPV_induction	HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	0.15	0.0125	20	20	7.728529739934484	3.8910062866761614	0.870055455788693	5.907482742299605	9.549576737569364	212.08955168930208	60.02463174320403	749.3919850805578	9.299342043173427	5.428189432038107	10.579522983902507	1.0	0.0	0.0	7.696501586246387	1632.3475710029975
0	hpv_vaccine_naive	unvaccinated_baseline_to_primary_2vHPV_response	primary_2vHPV_induction	HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	low	0.075	0.0125	20	20	6.662738455416481	3.13368090977363	0.700712353404722	5.196130644519373	8.129346266313588	101.31742144355236	36.65989235386677	280.0122757831191	6.869438191101573	5.683745856915687	8.62631489899162	1.0	0.0	0.0	7.819456783631061	792.2471984067921
0	hpv_vaccine_naive	unvaccinated_baseline_to_primary_2vHPV_response	primary_2vHPV_induction	HPV16	vaccine_target_2vHPV_and_4vHPV	ADCP	antibody_dependent_cellular_phagocytosis	Phagocytic function	none	0.0125	0.0125	20	20	1.5838570278059971	0.9456884756161937	0.21146237170159615	1.1412611972323352	2.026452858379659	2.997702114193193	2.205737634653062	4.074019422918251	1.7044400449538935	0.8414834396870368	2.2797215511390596	0.95	0.05	0.0	18.808258694298427	56.38155685219091
0	hpv_vaccine_naive	unvaccinated_baseline_to_primary_2vHPV_response	primary_2vHPV_induction	HPV16	vaccine_target_2vHPV_and_4vHPV	nAb	neutralizing_antibody	Neutralization	moderate	0.25	0.05	20	20	5.1	2.5526044491233284	0.5707797067908166	3.905344343918725	6.294655656081274	34.29675080116137	14.983931912277411	78.50189939485531	5.000000000000001	3.000000000000001	6.500000000000001	1.0	0.0	0.0	53.58867312681463	1837.9173679952603
0	hpv_vaccine_naive	unvaccinated_baseline_to_primary_2vHPV_response	primary_2vHPV_induction	HPV18	vaccine_target_2vHPV_and_4vHPV	IgG	antibody_isotype_or_subclass	Antibody abundance	none	0.0125	0.0125	20	20	3.750673700138944	1.7864243581986583	0.39945663015936334	2.9146013645225315	4.586746035755357	13.4606269307239	7.540192545821873	24.02968840212556	3.8061557820848377	2.4785541981699644	4.692439442051291	1.0	0.0	0.0	327.6122682267514	4409.86652052856
0	hpv_vaccine_naive	unvaccinated_baseline_to_primary_2vHPV_response	primary_2vHPV_induction	HPV18	vaccine_target_2vHPV_and_4vHPV	IgM	antibody_isotype_or_subclass	Antibody abundance	none	0.0125	0.0125	20	20	1.2226119047871562	1.1729141813180581	0.2622715841200692	0.6736711704360911	1.7715526391382213	2.3336883404521234	1.5951268652450232	3.4142119909225053	1.379803549092677	0.4860186783664062	2.098972985971161	0.8	0.2	0.0	1959.9525841229222	4573.918493406678
0	hpv_vaccine_naive	unvaccinated_baseline_to_primary_2vHPV_response	primary_2vHPV_induction	HPV18	vaccine_target_2vHPV_and_4vHPV	IgA1	antibody_isotype_or_subclass	Antibody abundance	none	0.0125	0.0125	20	20	3.8036306462243195	1.989256742878739	0.4448113301776681	2.8726298324891237	4.734631459959515	13.96390600973548	7.323990056724336	26.6235575879436	3.415000080426993	2.3764031218756108	5.071394892053292	1.0	0.0	0.0	158.1857932750249	2208.8915493678983
0	hpv_vaccine_naive	unvaccinated_baseline_to_primary_2vHPV_response	primary_2vHPV_induction	HPV18	vaccine_target_2vHPV_and_4vHPV	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	0.475	0.125	20	20	5.806649541396817	3.431341863685995	0.7672713661242702	4.20073211584003	7.412566966953604	55.972626465942355	18.38850281640327	170.37465990440558	6.164463079435475	3.5365065648079215	8.682806148461928	0.9	0.0	0.1	7.229439324233573	404.6507068535208
0	hpv_vaccine_naive	unvaccinated_baseline_to_primary_2vHPV_response	primary_2vHPV_induction	HPV18	vaccine_target_2vHPV_and_4vHPV	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	0.0125	0.0125	20	20	3.767649968659086	1.4305424529947657	0.31987901695955934	3.0981354916622594	4.437164445655912	13.619954405647801	8.563113760162183	21.663049587748507	3.5051072650759654	2.3626717342027868	5.113481823248527	1.0	0.0	0.0	213.53747907079182	2908.3707288411565
0	hpv_vaccine_naive	unvaccinated_baseline_to_primary_2vHPV_response	primary_2vHPV_induction	HPV18	vaccine_target_2vHPV_and_4vHPV	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	low	0.1125	0.0875	20	20	0.6552732689055487	2.3513249594073136	0.5257722446426687	-0.44518068627178287	1.7557272240828803	1.5749142381679537	0.7344923214590121	3.3769649935306516	0.1410060403240303	0.0	0.8985652520222268	0.55	0.1	0.35	6.760811579164418	10.647698417596814
