figure_file	format	file_size_bytes	raster_dpi	editable_vector
09_figures/hpv_specific/fiji_nct02276521/phase2C5/Figure_Fiji_multivariate_immune_state_architecture_v1.png	png	1698733	600.0	False
09_figures/hpv_specific/fiji_nct02276521/phase2C5/Figure_Fiji_multivariate_immune_state_architecture_v1.tiff	tiff	6035254	600.0	False
09_figures/hpv_specific/fiji_nct02276521/phase2C5/Figure_Fiji_multivariate_immune_state_architecture_v1.svg	svg	115092		True
09_figures/hpv_specific/fiji_nct02276521/phase2C5/FigureS_Fiji_multivariate_stability_and_loadings_v1.png	png	1199716	600.0	False
09_figures/hpv_specific/fiji_nct02276521/phase2C5/FigureS_Fiji_multivariate_stability_and_loadings_v1.tiff	tiff	5937896	600.0	False
09_figures/hpv_specific/fiji_nct02276521/phase2C5/FigureS_Fiji_multivariate_stability_and_loadings_v1.svg	svg	73354		True
