model_id	model_family	contrast_type	contrast_label	previous_4vHPV_doses	antigen_target	antigen_class	feature	assay_family	outcome_family	maximum_floor_severity	fit_method	estimate_log2	standard_error	ci95_lower	ci95_upper	test_statistic	p_value	ratio_effect	ratio_ci95_lower	ratio_ci95_upper	bh_family	q_value	fdr_significant_0_05
HPVVT-FJ-M06	Heterologous BPV control	within_trajectory	dose1_v2_minus_v1	1.0	BPV	heterologous_control_antigen	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_powell	0.4282853652235093	0.4565753625591085	-0.4665859016206608	1.3231566320676795	0.9380387124328532	0.3482245158854452	1.3456333486107506	0.7236751304136274	2.502129799401055	HPVVT-FJ-M06|Fc-receptor engagement|within_trajectory	0.4642993545139269	no
HPVVT-FJ-M06	Heterologous BPV control	within_trajectory	dose2_v2_minus_v1	2.0	BPV	heterologous_control_antigen	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_powell	2.553112093133762	0.4455719296279369	1.6798071585409902	3.426417027726534	5.729966192586842	1.0045065248631516e-08	5.868989362053743	3.203851230907597	10.75113469677002	HPVVT-FJ-M06|Fc-receptor engagement|within_trajectory	1.2054078298357818e-07	yes
HPVVT-FJ-M06	Heterologous BPV control	within_trajectory	dose3_v2_minus_v1	3.0	BPV	heterologous_control_antigen	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_powell	0.965336356700868	0.4684364380810758	0.0472178090157322	1.883454904386004	2.060762737961452	0.0393256809803567	1.9525186878721004	1.0332703725656018	3.6895756693611625	HPVVT-FJ-M06|Fc-receptor engagement|within_trajectory	0.09438163435285608	no
HPVVT-FJ-M06	Heterologous BPV control	persistence_dose_contrast	dose2_minus_dose1_at_v1		BPV	heterologous_control_antigen	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_lbfgs	-0.1251468812258693	0.6067761424117453	-1.3144062670310368	1.064112504579298	-0.2062488494166064	0.8365965317016479	0.91691068749334	0.4020909395731386	2.09088324579516	HPVVT-FJ-M06|Fc-receptor engagement|persistence_dose_contrast	0.9247250485681141	no
HPVVT-FJ-M06	Heterologous BPV control	persistence_dose_contrast	dose3_minus_dose1_at_v1		BPV	heterologous_control_antigen	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_lbfgs	-0.0670489099746042	0.6221594738097089	-1.2864590712820243	1.1523612513328163	-0.1077680446848126	0.9141796918706374	0.954588651307103	0.4099559852214728	2.2227739709960086	HPVVT-FJ-M06|Fc-receptor engagement|persistence_dose_contrast	0.9247250485681141	no
HPVVT-FJ-M06	Heterologous BPV control	persistence_dose_contrast	dose3_minus_dose2_at_v1		BPV	heterologous_control_antigen	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_lbfgs	0.0580979712512651	0.614900379754236	-1.1470846271470396	1.2632805696495697	0.0944835507736811	0.9247250485681142	1.0410922942961516	0.4515367675729323	2.40040954155025	HPVVT-FJ-M06|Fc-receptor engagement|persistence_dose_contrast	0.9247250485681141	no
HPVVT-FJ-M06	Heterologous BPV control	primary_minus_pooled_recall	dose0_minus_mean_dose1_2_3_change		BPV	heterologous_control_antigen	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_lbfgs	-0.6220407426459007	0.4067805223955066	-1.4193159161534823	0.1752344308616812	-1.529180254213597	0.1262197642536316	0.6497511815728247	0.3738895576398233	1.129147870885377	HPVVT-FJ-M06|Fc-receptor engagement|primary_minus_pooled_recall	0.1262197642536316	no
HPVVT-FJ-M06	Heterologous BPV control	recall_dose_contrast	dose2_minus_dose1_change		BPV	heterologous_control_antigen	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_lbfgs	0.5504591545442694	0.4921328741195113	-0.4141035543381568	1.5150218634266956	1.1185173425553236	0.2633461038478533	1.464551732472512	0.7504856781644897	2.858031591401162	HPVVT-FJ-M06|Fc-receptor engagement|recall_dose_contrast	0.5292534101205237	no
HPVVT-FJ-M06	Heterologous BPV control	recall_dose_contrast	dose3_minus_dose1_change		BPV	heterologous_control_antigen	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_lbfgs	0.5221724377884926	0.5046097046427448	-0.4668444095606813	1.5111892851376667	1.0348045885446893	0.3007601795985291	1.436116151813854	0.7235454709898338	2.8504491897090607	HPVVT-FJ-M06|Fc-receptor engagement|recall_dose_contrast	0.5292534101205237	no
HPVVT-FJ-M06	Heterologous BPV control	recall_dose_contrast	dose3_minus_dose2_change		BPV	heterologous_control_antigen	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_lbfgs	-0.0282867167557768	0.4987221316626596	-1.0057641331076326	0.9491906995960788	-0.0567183907830067	0.9547695238713898	0.9805841063663538	0.4980062891749465	1.9307892501745412	HPVVT-FJ-M06|Fc-receptor engagement|recall_dose_contrast	0.9547695238713898	no
