mechanistic_axis	metric	raw_effect	raw_q_value	bpv_calibrated_effect	bpv_calibrated_q_value	analysis_type	bpv_calibration_status	comparison
global_shared_serology	positive_antigen_count	0.0	0.846177909215202	0.0	0.7879242335073551	recall_dose_global	not_fdr_significant	
global_shared_serology	twofold_antigen_count	0.0	0.947457194430748	0.014258697844173775	0.46020537175581866	recall_dose_global	not_fdr_significant	
igg_subclass_architecture	cross_antigen_standard_deviation	0.0	0.5458010561744566	0.0	0.5045719303260423	recall_dose_global	not_fdr_significant	
igg_subclass_architecture	mean_cross_reactive_score	0.10073062293352016	0.1276584026351728	0.03441646970460367	0.3678646771525988	recall_dose_global	not_fdr_significant	
igg_subclass_architecture	median_cross_reactive_score	0.05137346529971765	0.2552449842753689	0.010394839557911359	0.4685872999405601	recall_dose_global	not_fdr_significant	
igg_subclass_architecture	minimum_cross_reactive_score	0.11933993741904378	0.1276584026351728	0.0	0.5045719303260423	recall_dose_global	not_fdr_significant	
igg_subclass_architecture	positive_antigen_count	0.14226249835114202	0.1276584026351728	0.0	0.6899629556920982	recall_dose_global	not_fdr_significant	
igg_subclass_architecture	twofold_antigen_count	0.0982281832844907	0.1276584026351728	0.0	0.5078920447625392	recall_dose_global	not_fdr_significant	
binding_antibody_abundance	cross_antigen_standard_deviation	-0.06888561805923951	0.7211832052967265	-0.06888561805923951	0.6868411479016443	recall_dose_trend	not_fdr_significant	
binding_antibody_abundance	mean_cross_reactive_score	-0.2789322223768008	0.09274078254585316	-0.22773225722108875	0.25926981048196157	recall_dose_trend	not_fdr_significant	
binding_antibody_abundance	median_cross_reactive_score	-0.30484170388046855	0.06126988984620805	-0.2847095356586198	0.21974008672194448	recall_dose_trend	not_fdr_significant	
binding_antibody_abundance	minimum_cross_reactive_score	-0.17635543553634148	0.30461297486102523	-0.16830846346523645	0.2824467078921192	recall_dose_trend	not_fdr_significant	
binding_antibody_abundance	positive_antigen_count	-0.12076289146399222	0.5054599003381955	-0.16353768419657383	0.2824467078921192	recall_dose_trend	not_fdr_significant	
binding_antibody_abundance	twofold_antigen_count	-0.1648841308662632	0.3120684987661136	-0.25315419322830457	0.2447357514303746	recall_dose_trend	not_fdr_significant	
fc_receptor_communication	cross_antigen_standard_deviation	0.06278406780752253	0.7241975929155345	0.06278406780752253	0.691279520510283	recall_dose_trend	not_fdr_significant	
fc_receptor_communication	mean_cross_reactive_score	-0.19209566662048091	0.30461297486102523	-0.1833412684332348	0.2824467078921192	recall_dose_trend	not_fdr_significant	
fc_receptor_communication	median_cross_reactive_score	-0.2290586811888533	0.18799749643241592	-0.22752592460388096	0.25926981048196157	recall_dose_trend	not_fdr_significant	
