evidence_category	findings
context_difference_supported	5
bpv_stable_and_dose_adjusted_predictor_function	6
dose_adjusted_function_function	2
B1_calibration_sensitive_partial_association	11
B2_bpv_stable_zero_order_only	1
C1_dose_heterogeneous_coupling	1
