matrix_representation	principal_component	component_number	feature_column	loading	absolute_loading	squared_loading	contribution_percent	antigen_target	assay_feature	feature_family
raw_log2_change	PC1	1	BPV__FcgR2A	0.04679007041638428	0.04679007041638428	0.002189310689570199	0.2189310689570199	BPV	FcgR2A	fc_receptor_communication
raw_log2_change	PC1	1	BPV__FcgR2B	0.05865383320767603	0.05865383320767603	0.0034402721499538795	0.34402721499538796	BPV	FcgR2B	fc_receptor_communication
raw_log2_change	PC1	1	BPV__FcgR3A	0.05502746395880205	0.05502746395880205	0.0030280217897372588	0.30280217897372586	BPV	FcgR3A	fc_receptor_communication
raw_log2_change	PC1	1	BPV__IgA1	-0.02614044858142655	0.02614044858142655	0.0006833230520382053	0.06833230520382054	BPV	IgA1	binding_antibody_abundance
raw_log2_change	PC1	1	BPV__IgA2	-0.011487823849123452	0.011487823849123452	0.00013197009678848955	0.013197009678848955	BPV	IgA2	binding_antibody_abundance
raw_log2_change	PC1	1	BPV__IgG	0.10401624399470885	0.10401624399470885	0.010819379014766805	1.0819379014766806	BPV	IgG	binding_antibody_abundance
raw_log2_change	PC1	1	BPV__IgG1	0.11989370505163006	0.11989370505163006	0.014374500511007264	1.4374500511007264	BPV	IgG1	igg_subclass_architecture
raw_log2_change	PC1	1	BPV__IgG2	-0.009236016192411108	0.009236016192411108	8.530399510648017e-05	0.008530399510648018	BPV	IgG2	igg_subclass_architecture
raw_log2_change	PC1	1	BPV__IgG3	0.10856162261991145	0.10856162261991145	0.011785625905868069	1.178562590586807	BPV	IgG3	igg_subclass_architecture
raw_log2_change	PC1	1	BPV__IgG4	-0.003617711554389568	0.003617711554389568	1.3087836890763785e-05	0.0013087836890763784	BPV	IgG4	igg_subclass_architecture
raw_log2_change	PC1	1	BPV__IgM	0.011031099835660498	0.011031099835660498	0.00012168516358430907	0.012168516358430907	BPV	IgM	binding_antibody_abundance
raw_log2_change	PC1	1	HPV16__ADCP	0.015483445041179928	0.015483445041179928	0.0002397370703432393	0.02397370703432393	HPV16	ADCP	phagocytic_function
raw_log2_change	PC1	1	HPV16__FcgR2A	0.026277416408399392	0.026277416408399392	0.0006905026131004176	0.06905026131004176	HPV16	FcgR2A	fc_receptor_communication
raw_log2_change	PC1	1	HPV16__FcgR2B	-0.1578331471122942	0.1578331471122942	0.024911302327371106	2.4911302327371105	HPV16	FcgR2B	fc_receptor_communication
raw_log2_change	PC1	1	HPV16__FcgR3A	-0.13295250392321725	0.13295250392321725	0.0176763682994531	1.7676368299453098	HPV16	FcgR3A	fc_receptor_communication
raw_log2_change	PC1	1	HPV16__IgA1	-0.1077848461375706	0.1077848461375706	0.011617573056899767	1.1617573056899766	HPV16	IgA1	binding_antibody_abundance
