matrix_type	variable_id	antigen_target	feature	antigen_class	assay_family	outcome_family	maximum_paired_floor_severity	available_participants	missing_participants	mean	standard_deviation	variance	evaluated_trajectories	raw_fdr_significant_trajectories	claim_ready_trajectories	qualified_trajectories	primary_claim_ready	recall_claim_ready_doses
bpv_calibrated_log2_change	HPV16__FcgR2A	HPV16	FcgR2A	vaccine_target_2vHPV_and_4vHPV	fc_gamma_receptor_binding	Fc-receptor engagement	low	80	0	-0.14467459313806463	4.874436185213442	23.76012812371817	4	2	0	2	no	
bpv_calibrated_log2_change	HPV16__FcgR2B	HPV16	FcgR2B	vaccine_target_2vHPV_and_4vHPV	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	80	0	1.153867548352473	5.036424889873307	25.36557567133535	4	2	1	1	yes	
bpv_calibrated_log2_change	HPV16__FcgR3A	HPV16	FcgR3A	vaccine_target_2vHPV_and_4vHPV	fc_gamma_receptor_binding	Fc-receptor engagement	low	80	0	1.5459678300956718	3.9486327128487044	15.591700300978918	4	4	1	3	yes	
bpv_calibrated_log2_change	HPV16__IgA1	HPV16	IgA1	vaccine_target_2vHPV_and_4vHPV	antibody_isotype_or_subclass	Antibody abundance	none	80	0	1.7147238665833153	3.9141182558239374	15.320321720574222	4	3	1	2	yes	
bpv_calibrated_log2_change	HPV16__IgA2	HPV16	IgA2	vaccine_target_2vHPV_and_4vHPV	antibody_isotype_or_subclass	Antibody abundance	high	80	0	4.05842157267028	5.116650446172479	26.180111788317035	4	4	3	1	yes	1,3
bpv_calibrated_log2_change	HPV16__IgG	HPV16	IgG	vaccine_target_2vHPV_and_4vHPV	antibody_isotype_or_subclass	Antibody abundance	none	80	0	1.1628378604389038	3.6221981833144077	13.120319679206196	4	1	1	0	yes	
bpv_calibrated_log2_change	HPV16__IgG1	HPV16	IgG1	vaccine_target_2vHPV_and_4vHPV	antibody_isotype_or_subclass	IgG subclass architecture	none	80	0	1.3344993910633192	3.338582760318437	11.146134847495473	4	4	1	3	yes	
bpv_calibrated_log2_change	HPV16__IgG2	HPV16	IgG2	vaccine_target_2vHPV_and_4vHPV	antibody_isotype_or_subclass	IgG subclass architecture	moderate	80	0	0.9121703577844565	3.771179792403597	14.221797026633238	4	1	1	0	no	1
bpv_calibrated_log2_change	HPV16__IgG3	HPV16	IgG3	vaccine_target_2vHPV_and_4vHPV	antibody_isotype_or_subclass	IgG subclass architecture	none	80	0	3.0874506257670067	4.54226978403233	20.632214790933112	4	4	2	2	yes	3
bpv_calibrated_log2_change	HPV16__IgG4	HPV16	IgG4	vaccine_target_2vHPV_and_4vHPV	antibody_isotype_or_subclass	IgG subclass architecture	moderate	80	0	1.0973553612428122	2.6043811453873267	6.7828011504490044	4	1	1	0	no	1
bpv_calibrated_log2_change	HPV16__IgM	HPV16	IgM	vaccine_target_2vHPV_and_4vHPV	antibody_isotype_or_subclass	Antibody abundance	none	80	0	1.5642967690773275	2.239385756071537	5.01484856449609	4	2	2	0	yes	1
bpv_calibrated_log2_change	HPV18__FcgR2A	HPV18	FcgR2A	vaccine_target_2vHPV_and_4vHPV	fc_gamma_receptor_binding	Fc-receptor engagement	low	80	0	0.18047590555696608	4.3972593653348016	19.33588992602462	4	2	0	2	no	
bpv_calibrated_log2_change	HPV18__FcgR2B	HPV18	FcgR2B	vaccine_target_2vHPV_and_4vHPV	fc_gamma_receptor_binding	Fc-receptor engagement	none	80	0	0.7791347011513157	3.0122068184577757	9.073389917163516	4	3	1	2	yes	
bpv_calibrated_log2_change	HPV18__FcgR3A	HPV18	FcgR3A	vaccine_target_2vHPV_and_4vHPV	fc_gamma_receptor_binding	Fc-receptor engagement	low	80	0	1.6893120774746393	3.4624912250074935	11.988845483253892	4	3	1	2	yes	
bpv_calibrated_log2_change	HPV18__IgA1	HPV18	IgA1	vaccine_target_2vHPV_and_4vHPV	antibody_isotype_or_subclass	Antibody abundance	none	80	0	1.694133973022712	3.5398835899703793	12.53077583054158	4	4	1	3	yes	
bpv_calibrated_log2_change	HPV18__IgA2	HPV18	IgA2	vaccine_target_2vHPV_and_4vHPV	antibody_isotype_or_subclass	Antibody abundance	high	80	0	3.9024416993493376	5.029679009822105	25.297670941845066	4	4	2	2	yes	1
bpv_calibrated_log2_change	HPV18__IgG	HPV18	IgG	vaccine_target_2vHPV_and_4vHPV	antibody_isotype_or_subclass	Antibody abundance	none	80	0	1.5059493894607408	2.2355330203866117	4.997607885238886	4	4	2	2	yes	1
bpv_calibrated_log2_change	HPV18__IgG1	HPV18	IgG1	vaccine_target_2vHPV_and_4vHPV	antibody_isotype_or_subclass	IgG subclass architecture	none	80	0	1.6989872090686144	1.9592895231076335	3.8388154353593382	4	4	4	0	yes	1,2,3
bpv_calibrated_log2_change	HPV18__IgG2	HPV18	IgG2	vaccine_target_2vHPV_and_4vHPV	antibody_isotype_or_subclass	IgG subclass architecture	low	80	0	1.6029920625679057	3.679224786180651	13.536695027246056	4	2	1	1	no	1
bpv_calibrated_log2_change	HPV18__IgG3	HPV18	IgG3	vaccine_target_2vHPV_and_4vHPV	antibody_isotype_or_subclass	IgG subclass architecture	none	80	0	2.5719770956066155	3.6962695658162263	13.662408703179274	4	4	2	2	yes	2
bpv_calibrated_log2_change	HPV18__IgG4	HPV18	IgG4	vaccine_target_2vHPV_and_4vHPV	antibody_isotype_or_subclass	IgG subclass architecture	high	80	0	1.4736754337954214	3.507431996841279	12.302079212466001	4	3	1	2	no	1
bpv_calibrated_log2_change	HPV18__IgM	HPV18	IgM	vaccine_target_2vHPV_and_4vHPV	antibody_isotype_or_subclass	Antibody abundance	none	80	0	0.8442484462130843	1.0166612878619667	1.0336001742371528	4	4	3	1	yes	1,3
bpv_calibrated_log2_change	HPV31__FcgR2A	HPV31	FcgR2A	cross_reactive_non_booster_target	fc_gamma_receptor_binding	Fc-receptor engagement	low	80	0	1.373145877005253	4.719630646043174	22.274913435069905	4	3	2	1	no	1,2
bpv_calibrated_log2_change	HPV31__FcgR2B	HPV31	FcgR2B	cross_reactive_non_booster_target	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	80	0	2.389503737437645	3.8253636331063214	14.633406925492395	4	4	3	1	yes	1,3
bpv_calibrated_log2_change	HPV31__FcgR3A	HPV31	FcgR3A	cross_reactive_non_booster_target	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	80	0	2.9468620840856055	3.6025183369018885	12.978138367714347	4	4	4	0	yes	1,2,3
bpv_calibrated_log2_change	HPV31__IgA1	HPV31	IgA1	cross_reactive_non_booster_target	antibody_isotype_or_subclass	Antibody abundance	low	80	0	2.3891919810740325	3.583323168733614	12.840204931583106	4	4	3	1	no	1,2,3
bpv_calibrated_log2_change	HPV31__IgA2	HPV31	IgA2	cross_reactive_non_booster_target	antibody_isotype_or_subclass	Antibody abundance	high	80	0	3.8017340483429605	5.098777551206713	25.997532516689528	4	4	0	4	no	
bpv_calibrated_log2_change	HPV31__IgG	HPV31	IgG	cross_reactive_non_booster_target	antibody_isotype_or_subclass	Antibody abundance	none	80	0	2.664833776559127	2.3602068056002734	5.570576165201847	4	4	4	0	yes	1,2,3
bpv_calibrated_log2_change	HPV31__IgG1	HPV31	IgG1	cross_reactive_non_booster_target	antibody_isotype_or_subclass	IgG subclass architecture	none	80	0	2.4558328188959786	2.0942461351195885	4.385866874463333	4	4	4	0	yes	1,2,3
bpv_calibrated_log2_change	HPV31__IgG2	HPV31	IgG2	cross_reactive_non_booster_target	antibody_isotype_or_subclass	IgG subclass architecture	high	80	0	1.9431890368668328	4.102433603156445	16.82996146830717	4	2	2	0	no	1,2
bpv_calibrated_log2_change	HPV31__IgG3	HPV31	IgG3	cross_reactive_non_booster_target	antibody_isotype_or_subclass	IgG subclass architecture	none	80	0	4.117074468029806	3.5914107382783578	12.898231091021099	4	3	3	0	no	1,2,3
bpv_calibrated_log2_change	HPV31__IgG4	HPV31	IgG4	cross_reactive_non_booster_target	antibody_isotype_or_subclass	IgG subclass architecture	high	80	0	1.523912390117592	2.6371496101433083	6.954558066279003	4	3	3	0	no	1,2,3
bpv_calibrated_log2_change	HPV31__IgM	HPV31	IgM	cross_reactive_non_booster_target	antibody_isotype_or_subclass	Antibody abundance	none	80	0	1.3779624228830256	1.5919841571843363	2.534413556725921	4	4	3	1	yes	1,3
bpv_calibrated_log2_change	HPV33__FcgR2A	HPV33	FcgR2A	cross_reactive_non_booster_target	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	80	0	1.6824276089214603	3.661912804414741	13.409605387136633	4	3	1	2	no	3
