antigen_target	antigen_class	feature	assay_family	outcome_family	maximum_floor_severity	observations	participants	fit_status	fit_method	converged	log_likelihood	residual_variance	random_intercept_variance	warnings
BPV	heterologous_control_antigen	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	160	80	success	mixedlm_powell	True	-305.81833914938557	2.3416355106414186	0.35985529976166386	mixedlm_lbfgs: LinAlgError: Singular matrix
BPV	heterologous_control_antigen	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	high	160	80	success	mixedlm_powell	True	-324.6590561943077	2.084610616959812	1.7115256226416091	mixedlm_lbfgs: LinAlgError: Singular matrix
BPV	heterologous_control_antigen	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	high	160	80	success	mixedlm_lbfgs	True	-309.28977122089043	1.240509775993109	2.53106243230038	
BPV	heterologous_control_antigen	IgA1	antibody_isotype_or_subclass	Antibody abundance	low	160	80	success	mixedlm_powell	True	-352.46854219005434	2.9829700540689155	2.3655269124368083	mixedlm_lbfgs: LinAlgError: Singular matrix
BPV	heterologous_control_antigen	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	160	80	success	mixedlm_lbfgs	True	-383.4257512287958	2.91897885275364	7.08689757058202	
BPV	heterologous_control_antigen	IgG	antibody_isotype_or_subclass	Antibody abundance	none	160	80	success	mixedlm_powell	True	-220.66814808672257	0.5897838565234924	0.4282147941909594	mixedlm_lbfgs: LinAlgError: Singular matrix
BPV	heterologous_control_antigen	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	160	80	success	mixedlm_lbfgs	True	-198.39262004740146	0.3496427352343729	0.5240822656966175	
BPV	heterologous_control_antigen	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	high	160	80	success	mixedlm_lbfgs	True	-359.3955156953689	1.956063940779305	6.015965789615029	
BPV	heterologous_control_antigen	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	low	160	80	success	mixedlm_powell	True	-357.26594941151313	4.588414492005194	0.5327837228131118	mixedlm_lbfgs: LinAlgError: Singular matrix
BPV	heterologous_control_antigen	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	high	160	80	success	mixedlm_lbfgs	True	-303.22084501643155	1.094181256108767	2.5227125241966504	
