trajectory	previous_4vHPV_doses	direction	antigen_target	antigen_class	feature	assay_family	outcome_family	participants	mean_log2_change	ci95_lower_log2_change	ci95_upper_log2_change	geometric_mean_ratio	positive_change_fraction	paired_floor_severity	floor_interpretation
primary_2vHPV_induction	0	positive	HPV16	vaccine_target_2vHPV_and_4vHPV	IgA2	antibody_isotype_or_subclass	Antibody abundance	20	9.639142316027357	8.300784480304829	10.977500151749885	797.3903390975588	1.0	high	requires_two_part_sensitivity_analysis
primary_2vHPV_induction	0	positive	HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	20	7.728529739934484	5.907482742299605	9.549576737569364	212.08955168930208	1.0	moderate	requires_above_floor_sensitivity_analysis
primary_2vHPV_induction	0	positive	HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	20	6.662738455416481	5.196130644519373	8.129346266313588	101.31742144355236	1.0	low	continuous_interpretation_with_floor_summary
primary_2vHPV_induction	0	positive	HPV16	vaccine_target_2vHPV_and_4vHPV	IgG	antibody_isotype_or_subclass	Antibody abundance	20	6.454572587157871	5.452542806823545	7.456602367492198	87.70411244850604	1.0	none	standard_continuous_interpretation
primary_2vHPV_induction	0	positive	HPV16	vaccine_target_2vHPV_and_4vHPV	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	20	6.35407373764079	5.374446082752888	7.333701392528692	81.80254015087215	1.0	none	standard_continuous_interpretation
primary_2vHPV_induction	0	positive	HPV16	vaccine_target_2vHPV_and_4vHPV	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	20	6.048283248858004	4.572696552990475	7.523869944725533	66.17815881068151	1.0	none	standard_continuous_interpretation
primary_2vHPV_induction	0	positive	HPV18	vaccine_target_2vHPV_and_4vHPV	IgA2	antibody_isotype_or_subclass	Antibody abundance	20	5.806649541396817	4.20073211584003	7.412566966953604	55.972626465942355	0.9	high	requires_two_part_sensitivity_analysis
primary_2vHPV_induction	0	positive	HPV16	vaccine_target_2vHPV_and_4vHPV	IgA1	antibody_isotype_or_subclass	Antibody abundance	20	5.513085080474395	4.4068567931331355	6.619313367815655	45.66715724611298	1.0	none	standard_continuous_interpretation
primary_2vHPV_induction	0	positive	HPV16	vaccine_target_2vHPV_and_4vHPV	nAb	neutralizing_antibody	Neutralization	20	5.1	3.905344343918725	6.294655656081274	34.29675080116137	1.0	moderate	requires_above_floor_sensitivity_analysis
primary_2vHPV_induction	0	positive	HPV16	vaccine_target_2vHPV_and_4vHPV	IgM	antibody_isotype_or_subclass	Antibody abundance	20	3.971182214883811	2.970632726652783	4.971731703114839	15.683571382626807	0.95	none	standard_continuous_interpretation
primary_2vHPV_induction	0	positive	HPV18	vaccine_target_2vHPV_and_4vHPV	nAb	neutralizing_antibody	Neutralization	20	3.900000000000001	2.8273755509637843	4.972624449036218	14.928527864588927	0.9	high	requires_two_part_sensitivity_analysis
primary_2vHPV_induction	0	positive	HPV18	vaccine_target_2vHPV_and_4vHPV	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	20	3.8067782894436752	2.750940250286912	4.8626163286004385	13.994405440334917	0.95	low	continuous_interpretation_with_floor_summary
primary_2vHPV_induction	0	negative	HPV45	cross_reactive_non_booster_target	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	20	-2.1522782051032046	-4.810170109070302	0.5056136988638928	0.22495709819487167	0.2	moderate	requires_above_floor_sensitivity_analysis
primary_2vHPV_induction	0	negative	HPV45	cross_reactive_non_booster_target	IgA2	antibody_isotype_or_subclass	Antibody abundance	20	-1.4188406596585104	-4.213554879596423	1.3758735602794019	0.3740127456365753	0.3	high	requires_two_part_sensitivity_analysis
primary_2vHPV_induction	0	negative	HPV52	cross_reactive_non_booster_target	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	20	-1.171386602299029	-3.709900787780117	1.367127583182059	0.443994403779635	0.2	high	requires_two_part_sensitivity_analysis
primary_2vHPV_induction	0	negative	HPV31	cross_reactive_non_booster_target	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	20	-1.0157618476208332	-4.273357500421602	2.241833805179935	0.4945670919421334	0.4	low	continuous_interpretation_with_floor_summary
primary_2vHPV_induction	0	negative	HPV58	cross_reactive_non_booster_target	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	20	-0.5930982554460169	-1.647585514503211	0.4613890036111772	0.662917730278081	0.2	none	standard_continuous_interpretation
primary_2vHPV_induction	0	negative	HPV33	cross_reactive_non_booster_target	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	20	-0.5411164284058568	-2.352578675249895	1.2703458184381815	0.6872388839810005	0.45	moderate	requires_above_floor_sensitivity_analysis
primary_2vHPV_induction	0	negative	HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	20	-0.42526205818272117	-5.017826696192375	4.167302579826933	0.7447034476987028	0.5	low	continuous_interpretation_with_floor_summary
primary_2vHPV_induction	0	negative	HPV45	cross_reactive_non_booster_target	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	20	-0.40772121500451936	-1.7416658704866148	0.9262234404775762	0.7538131068221844	0.25	high	requires_two_part_sensitivity_analysis
primary_2vHPV_induction	0	negative	HPV18	vaccine_target_2vHPV_and_4vHPV	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	20	-0.2462005357836608	-1.289534040355571	0.7971329687882496	0.8431139085859541	0.2	high	requires_two_part_sensitivity_analysis
primary_2vHPV_induction	0	negative	HPV31	cross_reactive_non_booster_target	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	20	-0.23522945806085724	-1.3931585582678363	0.9226996421461219	0.8495498690086112	0.35	high	requires_two_part_sensitivity_analysis
primary_2vHPV_induction	0	negative	HPV58	cross_reactive_non_booster_target	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	20	-0.19873427044009512	-0.7996605866881243	0.40219204580793405	0.8713146645456413	0.1	none	standard_continuous_interpretation
primary_2vHPV_induction	0	negative	HPV52	cross_reactive_non_booster_target	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	20	-0.1840817662334134	-1.3116384332929198	0.9434749008260931	0.8802091253869778	0.25	high	requires_two_part_sensitivity_analysis
recall_after_1_previous_4vHPV_doses	1	positive	HPV31	cross_reactive_non_booster_target	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	20	7.458074143004342	5.469144630784589	9.447003655224094	175.83447413462383	1.0	none	standard_continuous_interpretation
recall_after_1_previous_4vHPV_doses	1	positive	HPV58	cross_reactive_non_booster_target	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	20	6.358503677251621	4.877815903163835	7.839191451339406	82.05410907916908	1.0	high	requires_two_part_sensitivity_analysis
recall_after_1_previous_4vHPV_doses	1	positive	HPV52	cross_reactive_non_booster_target	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	20	6.216801706450782	4.36121012093953	8.072393291962033	74.37787919087656	1.0	low	continuous_interpretation_with_floor_summary
recall_after_1_previous_4vHPV_doses	1	positive	HPV18	vaccine_target_2vHPV_and_4vHPV	nAb	neutralizing_antibody	Neutralization	20	6.1	5.105451274509981	7.094548725490018	68.59350160232275	1.0	high	requires_two_part_sensitivity_analysis
