antigen_target	antigen_class	feature	assay_family	outcome_family	maximum_floor_severity	fit_method	coefficient	estimate	standard_error	test_statistic	p_value
BPV	heterologous_control_antigen	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_powell	dose3	0.3816527264318262	0.6241822299373956	0.6114443957658091	0.5409054191252618
BPV	heterologous_control_antigen	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_powell	intercept	1.036768080528241	0.4356682361385453	2.379719232499985	0.0173258334695977
BPV	heterologous_control_antigen	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_powell	visit_v2	-0.079999613511128	0.4565753625591052	-0.1752166675458136	0.860909388118696
BPV	heterologous_control_antigen	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_powell	visit_v2_dose1	0.5082849787346374	0.645695069976502	0.787190428375324	0.4311703995201125
BPV	heterologous_control_antigen	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_powell	visit_v2_dose2	2.63311170664489	0.6379619159231541	4.127380711801083	3.669186571619349e-05
BPV	heterologous_control_antigen	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_powell	visit_v2_dose3	1.045335970211996	0.6541358866612227	1.59804100574194	0.110033851471174
BPV	heterologous_control_antigen	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_lbfgs	dose1	-0.061763943783871	0.6141312732871933	-0.100571240173577	0.919890827939284
BPV	heterologous_control_antigen	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_lbfgs	dose2	-0.1869108250097403	0.6067761424117457	-0.30803917943581	0.7580525199920098
BPV	heterologous_control_antigen	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_lbfgs	dose3	-0.1288128537584752	0.6221594738097093	-0.2070415370671881	0.8359774193476238
BPV	heterologous_control_antigen	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_lbfgs	intercept	2.0505565695954098	0.4342563878801034	4.721995178022714	2.335422208567688e-06
BPV	heterologous_control_antigen	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_lbfgs	visit_v2	0.3682205383472616	0.3522087131223621	1.045461184315837	0.2958098713566193
BPV	heterologous_control_antigen	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_lbfgs	visit_v2_dose1	0.26449687853498	0.4980983388836197	0.5310133720337089	0.5954095128091386
BPV	heterologous_control_antigen	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_lbfgs	visit_v2_dose2	0.8149560330792495	0.4921328741195108	1.6559674753232263	0.0977284056147043
BPV	heterologous_control_antigen	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	high	mixedlm_lbfgs	visit_v2_dose3	0.7866693163234726	0.5046097046427443	1.558965888062779	0.1190044541058561
BPV	heterologous_control_antigen	IgA1	antibody_isotype_or_subclass	Antibody abundance	low	mixedlm_powell	dose1	-0.7053999892603272	0.7313341894445884	-0.9645385098104644	0.3347760109616332
BPV	heterologous_control_antigen	IgA1	antibody_isotype_or_subclass	Antibody abundance	low	mixedlm_powell	dose2	-0.2690815682512892	0.7225753801947965	-0.3723923837243784	0.7096007237376449
BPV	heterologous_control_antigen	IgA1	antibody_isotype_or_subclass	Antibody abundance	low	mixedlm_powell	dose3	-1.0421581670993807	0.7408945192587764	-1.4066215095530763	0.1595396514276906
BPV	heterologous_control_antigen	IgA1	antibody_isotype_or_subclass	Antibody abundance	low	mixedlm_powell	intercept	7.025031197990379	0.517131364669836	13.584616362373476	4.941141546419671e-42
BPV	heterologous_control_antigen	IgA1	antibody_isotype_or_subclass	Antibody abundance	low	mixedlm_powell	visit_v2	0.9966010300604478	0.5461657307144857	1.8247227425944677	0.0680428794937451
BPV	heterologous_control_antigen	IgA1	antibody_isotype_or_subclass	Antibody abundance	low	mixedlm_powell	visit_v2_dose1	-0.7224934244077257	0.7723949836798397	-0.9353937294693794	0.349585427250378
BPV	heterologous_control_antigen	IgA1	antibody_isotype_or_subclass	Antibody abundance	low	mixedlm_powell	visit_v2_dose2	-0.4098193681421271	0.7631444106515424	-0.537014177686553	0.5912578208396662
BPV	heterologous_control_antigen	IgA1	antibody_isotype_or_subclass	Antibody abundance	low	mixedlm_powell	visit_v2_dose3	0.1561562503416095	0.7824920786842614	0.1995627235028141	0.8418225836245862
BPV	heterologous_control_antigen	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	mixedlm_lbfgs	dose1	-1.0299930524525875	1.000293778014021	-1.0296905520071626	0.3031552921330935
BPV	heterologous_control_antigen	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	mixedlm_lbfgs	dose2	-0.684601143853938	0.9883137796468828	-0.6926961436261072	0.4885002597143822
BPV	heterologous_control_antigen	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	mixedlm_lbfgs	dose3	-0.3490391578820461	1.0133700686714522	-0.3444340509678198	0.7305198846876999
BPV	heterologous_control_antigen	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	mixedlm_lbfgs	intercept	3.810598852948804	0.7073145136124243	5.387417873679935	7.147711836679903e-08
BPV	heterologous_control_antigen	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	mixedlm_lbfgs	visit_v2	0.9365258917708116	0.5402757492941604	1.733422040493821	0.0830206829219945
BPV	heterologous_control_antigen	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	mixedlm_lbfgs	visit_v2_dose1	-0.8167687839674743	0.764065292073086	-1.0689777332397752	0.285079702963081
BPV	heterologous_control_antigen	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	mixedlm_lbfgs	visit_v2_dose2	-0.1569876832736253	0.7549144794292288	-0.2079542617758764	0.8352646803891398
BPV	heterologous_control_antigen	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	mixedlm_lbfgs	visit_v2_dose3	-0.9625815566322072	0.7740534975983059	-1.2435594692341765	0.2136617409980733
BPV	heterologous_control_antigen	IgG	antibody_isotype_or_subclass	Antibody abundance	none	mixedlm_powell	dose1	-0.2131428223580071	0.319060911224558	-0.6680317608946941	0.5041133188443125
BPV	heterologous_control_antigen	IgG	antibody_isotype_or_subclass	Antibody abundance	none	mixedlm_powell	dose2	0.407163714571919	0.3152396846214327	1.2916004374921153	0.1964955524697414
BPV	heterologous_control_antigen	IgG	antibody_isotype_or_subclass	Antibody abundance	none	mixedlm_powell	dose3	0.3645057967084761	0.3232318191161181	1.1276915673253405	0.2594502002086321
BPV	heterologous_control_antigen	IgG	antibody_isotype_or_subclass	Antibody abundance	none	mixedlm_powell	intercept	8.147854291914916	0.225610133938444	36.114753134883536	1.3308215426209475e-285
BPV	heterologous_control_antigen	IgG	antibody_isotype_or_subclass	Antibody abundance	none	mixedlm_powell	visit_v2	-0.0752571844783207	0.2428546595236524	-0.3098856930558137	0.7566478829213126
BPV	heterologous_control_antigen	IgG	antibody_isotype_or_subclass	Antibody abundance	none	mixedlm_powell	visit_v2_dose1	1.0825898313639688	0.3434483531838498	3.1521182772550738	0.0016209060137331
BPV	heterologous_control_antigen	IgG	antibody_isotype_or_subclass	Antibody abundance	none	mixedlm_powell	visit_v2_dose2	0.6965766855884482	0.3393350508712954	2.0527696263615542	0.040094925647987
BPV	heterologous_control_antigen	IgG	antibody_isotype_or_subclass	Antibody abundance	none	mixedlm_powell	visit_v2_dose3	1.3464102337795825	0.3479380646973659	3.8696836316276015	0.000108976674199
BPV	heterologous_control_antigen	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	mixedlm_lbfgs	dose1	-0.7704340409282932	0.2955883964114609	-2.606442100845678	0.0091488290047673
BPV	heterologous_control_antigen	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	mixedlm_lbfgs	dose2	-0.0849792130848685	0.2920482879111512	-0.290976583676195	0.7710692285346983
BPV	heterologous_control_antigen	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	mixedlm_lbfgs	dose3	0.1362754633479578	0.2994524610206742	0.4550821285070332	0.6490501546892797
BPV	heterologous_control_antigen	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	mixedlm_lbfgs	intercept	7.6364165687458465	0.2090125595426012	36.535682762113545	3.010063621442268e-292
BPV	heterologous_control_antigen	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	mixedlm_lbfgs	visit_v2	0.1482233360641874	0.1869873619350704	0.7926917334426943	0.4279574477581204
BPV	heterologous_control_antigen	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	mixedlm_lbfgs	visit_v2_dose1	1.0486760485833746	0.2644400632409437	3.965647397489376	7.319700204716601e-05
BPV	heterologous_control_antigen	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	mixedlm_lbfgs	visit_v2_dose2	0.3531598813877592	0.2612730021280354	1.3516891470275034	0.1764747783929638
BPV	heterologous_control_antigen	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	mixedlm_lbfgs	visit_v2_dose3	0.7161080655179484	0.2678969428141362	2.6730729286999586	0.00751599088678
BPV	heterologous_control_antigen	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	high	mixedlm_lbfgs	dose1	-0.1693054357798963	0.892862236316126	-0.1896210063474475	0.8496061251685042
BPV	heterologous_control_antigen	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	high	mixedlm_lbfgs	dose2	-0.9878994842632476	0.8821688896531253	-1.1198530075705757	0.2627764063447442
