matrix_representation	cluster_count	pca_components_used	variance_threshold	minimum_cluster_size	maximum_cluster_size	silhouette_score	calinski_harabasz_score	davies_bouldin_score	mean_subsample_adjusted_rand	median_subsample_adjusted_rand	subsample_adjusted_rand_2_5_percentile	subsample_adjusted_rand_97_5_percentile	context_adjusted_rand	context_normalized_mutual_information	dose_group_adjusted_rand	dose_group_normalized_mutual_information	stable_cluster_candidate	clustering_composite_score	candidate_rank_within_representation	selected_cluster_candidate
raw_log2_change	2	21	0.8	19	61	0.21253319527605533	19.6465373527379	1.596286145047535	0.9984181783695496	1.0	1.0	1.0	0.843786647948571	0.7263932852914399	0.24926061145312242	0.4315551545523722	True	0.6054756868228025	1	True
raw_log2_change	3	21	0.8	19	35	0.14052490158339287	15.363990252414524	2.1999749903919015	0.825526916417569	0.917153721083898	0.5694603594511535	1.0	0.3973872389289469	0.49502359092821807	0.3019353416584403	0.3874102225884038	False	0.4830259090004809	2	False
raw_log2_change	4	21	0.8	12	28	0.11965875610722757	12.289829603250991	2.3517045978063313	0.6620931412248559	0.6616569758163482	0.45329455077549885	0.8706983278193705	0.2921136780081199	0.4518524651534429	0.29835920673249716	0.38582590545544115	False	0.3908759486660417	3	False
raw_log2_change	5	21	0.8	9	26	0.10152074566742467	10.639681372307306	2.2767805188161208	0.5625420397387316	0.5555934563805229	0.3224882833212966	0.8426955370783581	0.2474700686670391	0.4203461496686652	0.22836534818147167	0.38882054965506035	False	0.33203139270307813	4	False
raw_log2_change	6	21	0.8	4	24	0.09776576283836097	9.42441104818899	2.1010574488533114	0.5502828519709108	0.5438957443367913	0.33578025041425885	0.7713988073102053	0.2196834463881947	0.37619682078999644	0.1838847722358884	0.33825922093693667	False	0.32402430740463584	5	False
bpv_calibrated_log2_change	2	16	0.8	21	59	0.169164855858225	15.508735078650743	1.860123713090792	0.943386678820107	0.9478337768980781	0.5043274222594225	1.0	0.8457930894618095	0.7318482168319707	0.27593932871920707	0.4358558168182715	False	0.556275767339166	1	False
bpv_calibrated_log2_change	3	16	0.8	19	42	0.1521413976029413	13.949818175593686	2.0303644928551283	0.9156720585357935	0.959886921740146	0.613214491196474	1.0	0.4846381730980505	0.5474621586457591	0.3066491378597089	0.417109162449939	False	0.5339067280693673	2	False
bpv_calibrated_log2_change	4	16	0.8	15	24	0.12066859017006919	11.756379338261853	2.193557109704831	0.727834839876011	0.723297050398942	0.46356118757465437	0.9617822891280019	0.28598986875102705	0.4547810244603103	0.29726624854840134	0.3739097305353824	False	0.4242517150230401	3	False
bpv_calibrated_log2_change	5	16	0.8	13	20	0.11033111365299378	10.325237606709328	2.0656837625684874	0.641813005966432	0.6627118336358953	0.36161901617378767	0.8778074316599704	0.19552834448102097	0.36594459457018647	0.26053373785569994	0.33179387647140945	False	0.37607205980971287	4	False
bpv_calibrated_log2_change	6	16	0.8	1	19	0.11255800133513531	9.274705686024776	1.7735513160839773	0.5818644725479798	0.5731333491990978	0.3856428701094888	0.8110579400298623	0.20806980802792321	0.400925020691072	0.2805396099813745	0.3615505674350582	False	0.34721123694155753	5	False
