principal_component	component_number	biological_axis	participants	shared_features	bpv_sign_multiplier	score_pearson_r	score_pearson_p_value	score_spearman_rho	score_spearman_p_value	loading_pearson_r	loading_pearson_p_value	loading_spearman_rho	loading_spearman_p_value	concordance_status
PC1	1	cross_reactive_recall_breadth_axis	80	77	1.0	0.9314902926150412	5.353520081579704e-36	0.8981715893108299	1.4515201496152374e-29	0.9477924347078811	5.7341187694168627e-39	0.93587990956412	1.026044315034228e-35	high_cross_representation_concordance
PC2	2	vaccine_type_effector_axis	80	77	1.0	0.7456632773318406	2.1141505410274118e-15	0.7487810595405533	1.3954490510566216e-15	0.8262346892312508	2.2400694682418496e-20	0.7852147852147852	2.8385014042281016e-17	moderate_cross_representation_concordance
