antigen_target	analysis_stratum	predictor_feature	functional_outcome	feature_pair	raw_participants	raw_spearman_rho	raw_p_value	raw_q_value	raw_pair_floor_severity	bpv_calibrated_participants	bpv_calibrated_spearman_rho	bpv_calibrated_p_value	bpv_calibrated_q_value	bpv_calibrated_pair_floor_severity	bpv_calibration_status	absolute_rho_difference
HPV16	all_participants	FcgR2A	ADCP	FcgR2A__ADCP	80	0.07969995311767465	0.48220669398414107	0.48220669398414107	low	80	0.03588842006563526	0.7519678817854233	0.7519678817854233	moderate	not_fdr_significant	0.04381153305203939
HPV16	all_participants	FcgR2A	nAb	FcgR2A__nAb	80	0.12684854279105082	0.2621824216401656	0.2621824216401656	moderate	80	0.10853225357586196	0.33791225647728884	0.35782256188673345	moderate	not_fdr_significant	0.018316289215188852
HPV16	all_participants	FcgR2B	ADCP	FcgR2B__ADCP	80	0.21336146272855136	0.05739741962420539	0.07701258193305444	moderate	80	0.08938115330520394	0.43043523489278757	0.5165222818713451	high	not_fdr_significant	0.12398030942334742
HPV16	all_participants	FcgR2B	nAb	FcgR2B__nAb	80	0.24961241183038535	0.025553133610202672	0.030663760332243203	moderate	80	0.10416506636581373	0.35782256188673345	0.35782256188673345	high	attenuated_after_bpv_calibration	0.1454473454645716
HPV16	all_participants	FcgR3A	ADCP	FcgR3A__ADCP	80	0.20794655414908578	0.0641771516108787	0.07701258193305444	low	80	0.126629160806376	0.26301525463982733	0.394522881959741	high	not_fdr_significant	0.08131739334270977
HPV16	all_participants	FcgR3A	nAb	FcgR3A__nAb	80	0.36601972805725075	0.0008410408242991201	0.0016820816485982402	moderate	80	0.20446911546775728	0.06886307128324816	0.13772614256649632	high	attenuated_after_bpv_calibration	0.16155061258949346
HPV16	all_participants	IgG	ADCP	IgG__ADCP	80	0.4301224262162041	6.833026278990818e-05	0.00013666052557981636	none	80	0.169971870604782	0.13172371779833036	0.26344743559666073	none	attenuated_after_bpv_calibration	0.2601505556114221
HPV16	all_participants	IgG	nAb	IgG__nAb	80	0.5036984829264493	1.9095724583325885e-06	5.7287173749977654e-06	moderate	80	0.1823977515355728	0.10537093731841561	0.15805640597762344	moderate	attenuated_after_bpv_calibration	0.32130073139087645
HPV16	all_participants	IgG1	ADCP	IgG1__ADCP	80	0.4860290670417253	4.868745574801177e-06	1.4606236724403531e-05	none	80	0.22639474917955932	0.04344902256455132	0.13034706769365398	none	attenuated_after_bpv_calibration	0.259634317862166
HPV16	all_participants	IgG1	nAb	IgG1__nAb	80	0.551230842782046	1.1662036139634345e-07	6.997221683780608e-07	moderate	80	0.28677470299513547	0.0099076673047335	0.029723001914200502	moderate	supported_raw_and_bpv_calibrated	0.26445613978691057
HPV16	all_participants	IgG3	ADCP	IgG3__ADCP	80	0.6171354899203001	1.0853329967324963e-09	6.511997980394978e-09	none	80	0.4481247069854665	3.068119589478663e-05	0.0001840871753687198	low	supported_raw_and_bpv_calibrated	0.16901078293483357
HPV16	all_participants	IgG3	nAb	IgG3__nAb	80	0.3470795549549121	0.0016094788189909798	0.00241421822848647	moderate	80	0.2872691015472164	0.009775283305874698	0.029723001914200502	moderate	supported_raw_and_bpv_calibrated	0.059810453407695696
HPV16	primary_dose0	FcgR2A	ADCP	FcgR2A__ADCP	20	0.08270676691729321	0.7288508763559796	0.8746210516271754	low	20	0.07518796992481201	0.7527267095067718	0.903272051408126	moderate	not_fdr_significant	0.007518796992481203
HPV16	primary_dose0	FcgR2A	nAb	FcgR2A__nAb	20	0.16566287001957972	0.4851712097123725	0.6344678263277995	moderate	20	0.15958349864271443	0.5015498820127948	0.5372195289289854	moderate	not_fdr_significant	0.006079371376865289
