matrix_representation	cluster_count	cluster_label	marker_direction	marker_rank	feature_column	antigen_target	assay_feature	feature_family	cluster_mean_standardized_value
bpv_calibrated_log2_change	2	1	lowest_cluster_z_score	3	HPV58__FcgR3A	HPV58	FcgR3A	fc_receptor_communication	-0.8821048200195138
bpv_calibrated_log2_change	2	1	lowest_cluster_z_score	4	HPV58__IgG1	HPV58	IgG1	igg_subclass_architecture	-0.871061330841277
bpv_calibrated_log2_change	2	1	lowest_cluster_z_score	5	HPV52__IgG1	HPV52	IgG1	igg_subclass_architecture	-0.8685905090112185
bpv_calibrated_log2_change	2	2	highest_cluster_z_score	1	HPV52__IgG	HPV52	IgG	binding_antibody_abundance	0.3271790833650604
bpv_calibrated_log2_change	2	2	highest_cluster_z_score	2	HPV45__IgG1	HPV45	IgG1	igg_subclass_architecture	0.3195725932150467
bpv_calibrated_log2_change	2	2	highest_cluster_z_score	3	HPV58__FcgR3A	HPV58	FcgR3A	fc_receptor_communication	0.3139695122103352
bpv_calibrated_log2_change	2	2	highest_cluster_z_score	4	HPV58__IgG1	HPV58	IgG1	igg_subclass_architecture	0.3100387787740139
bpv_calibrated_log2_change	2	2	highest_cluster_z_score	5	HPV52__IgG1	HPV52	IgG1	igg_subclass_architecture	0.30915933371585735
bpv_calibrated_log2_change	2	2	lowest_cluster_z_score	1	HPV16__IgG1	HPV16	IgG1	igg_subclass_architecture	-0.5128774802866818
bpv_calibrated_log2_change	2	2	lowest_cluster_z_score	2	HPV16__IgG	HPV16	IgG	binding_antibody_abundance	-0.5098177283447237
bpv_calibrated_log2_change	2	2	lowest_cluster_z_score	3	HPV16__FcgR2B	HPV16	FcgR2B	fc_receptor_communication	-0.4656631350918552
bpv_calibrated_log2_change	2	2	lowest_cluster_z_score	4	HPV16__FcgR3A	HPV16	FcgR3A	fc_receptor_communication	-0.4182637931550594
bpv_calibrated_log2_change	2	2	lowest_cluster_z_score	5	HPV16__IgM	HPV16	IgM	binding_antibody_abundance	-0.4031827559835165
bpv_calibrated_log2_change	3	1	highest_cluster_z_score	1	HPV16__IgG1	HPV16	IgG1	igg_subclass_architecture	1.4756507393753604
bpv_calibrated_log2_change	3	1	highest_cluster_z_score	2	HPV16__IgG	HPV16	IgG	binding_antibody_abundance	1.4502779354259203
bpv_calibrated_log2_change	3	1	highest_cluster_z_score	3	HPV16__FcgR2B	HPV16	FcgR2B	fc_receptor_communication	1.3405117714634913
bpv_calibrated_log2_change	3	1	highest_cluster_z_score	4	HPV16__FcgR3A	HPV16	FcgR3A	fc_receptor_communication	1.2605089662207885
bpv_calibrated_log2_change	3	1	highest_cluster_z_score	5	HPV16__IgM	HPV16	IgM	binding_antibody_abundance	1.1588202129146699
bpv_calibrated_log2_change	3	1	lowest_cluster_z_score	1	HPV58__IgG1	HPV58	IgG1	igg_subclass_architecture	-1.017125123258652
bpv_calibrated_log2_change	3	1	lowest_cluster_z_score	2	HPV45__IgG1	HPV45	IgG1	igg_subclass_architecture	-1.0110635738834075
bpv_calibrated_log2_change	3	1	lowest_cluster_z_score	3	HPV52__IgG	HPV52	IgG	binding_antibody_abundance	-0.9490462174893909
bpv_calibrated_log2_change	3	1	lowest_cluster_z_score	4	HPV52__IgG1	HPV52	IgG1	igg_subclass_architecture	-0.9478319983598953
bpv_calibrated_log2_change	3	1	lowest_cluster_z_score	5	HPV45__IgG	HPV45	IgG	binding_antibody_abundance	-0.9390817036102006
bpv_calibrated_log2_change	3	2	highest_cluster_z_score	1	HPV31__FcgR2B	HPV31	FcgR2B	fc_receptor_communication	1.0750435164535812
bpv_calibrated_log2_change	3	2	highest_cluster_z_score	2	HPV52__IgG	HPV52	IgG	binding_antibody_abundance	1.0727026295045718
bpv_calibrated_log2_change	3	2	highest_cluster_z_score	3	HPV31__IgG	HPV31	IgG	binding_antibody_abundance	1.0526687291020094
bpv_calibrated_log2_change	3	2	highest_cluster_z_score	4	HPV52__FcgR3A	HPV52	FcgR3A	fc_receptor_communication	0.9751152220368947
bpv_calibrated_log2_change	3	2	highest_cluster_z_score	5	HPV52__IgG1	HPV52	IgG1	igg_subclass_architecture	0.9306541962435304
bpv_calibrated_log2_change	3	2	lowest_cluster_z_score	1	HPV45__IgA2	HPV45	IgA2	binding_antibody_abundance	-0.2864590229954905
bpv_calibrated_log2_change	3	2	lowest_cluster_z_score	2	HPV45__IgG4	HPV45	IgG4	igg_subclass_architecture	-0.2185187145405781
bpv_calibrated_log2_change	3	2	lowest_cluster_z_score	3	HPV16__FcgR3A	HPV16	FcgR3A	fc_receptor_communication	-0.19916805959829134
bpv_calibrated_log2_change	3	2	lowest_cluster_z_score	4	HPV58__IgG4	HPV58	IgG4	igg_subclass_architecture	-0.1917976586583292
bpv_calibrated_log2_change	3	2	lowest_cluster_z_score	5	HPV52__IgG4	HPV52	IgG4	igg_subclass_architecture	-0.17993557631988089
bpv_calibrated_log2_change	3	3	highest_cluster_z_score	1	HPV31__IgG4	HPV31	IgG4	igg_subclass_architecture	0.3651311088132775
bpv_calibrated_log2_change	3	3	highest_cluster_z_score	2	HPV58__IgG4	HPV58	IgG4	igg_subclass_architecture	0.35886597969631634
bpv_calibrated_log2_change	3	3	highest_cluster_z_score	3	HPV52__IgG4	HPV52	IgG4	igg_subclass_architecture	0.32046627342307726
bpv_calibrated_log2_change	3	3	highest_cluster_z_score	4	HPV45__IgG4	HPV45	IgG4	igg_subclass_architecture	0.2471618882018387
bpv_calibrated_log2_change	3	3	highest_cluster_z_score	5	HPV31__IgG2	HPV31	IgG2	igg_subclass_architecture	0.2390039837978677
bpv_calibrated_log2_change	3	3	lowest_cluster_z_score	1	HPV18__IgG	HPV18	IgG	binding_antibody_abundance	-0.6117159410018743
bpv_calibrated_log2_change	3	3	lowest_cluster_z_score	2	HPV16__IgG	HPV16	IgG	binding_antibody_abundance	-0.6082824172078742
bpv_calibrated_log2_change	3	3	lowest_cluster_z_score	3	HPV16__IgG1	HPV16	IgG1	igg_subclass_architecture	-0.5899148259845473
bpv_calibrated_log2_change	3	3	lowest_cluster_z_score	4	HPV16__IgA1	HPV16	IgA1	binding_antibody_abundance	-0.5567826890434133
bpv_calibrated_log2_change	3	3	lowest_cluster_z_score	5	HPV16__FcgR2B	HPV16	FcgR2B	fc_receptor_communication	-0.5535234240005058
bpv_calibrated_log2_change	4	1	highest_cluster_z_score	1	HPV31__FcgR2B	HPV31	FcgR2B	fc_receptor_communication	1.4988495751645063
bpv_calibrated_log2_change	4	1	highest_cluster_z_score	2	HPV58__FcgR2B	HPV58	FcgR2B	fc_receptor_communication	1.2541678729968386
bpv_calibrated_log2_change	4	1	highest_cluster_z_score	3	HPV31__IgG	HPV31	IgG	binding_antibody_abundance	1.2316714920224636
bpv_calibrated_log2_change	4	1	highest_cluster_z_score	4	HPV52__FcgR2B	HPV52	FcgR2B	fc_receptor_communication	1.1112849521789938
bpv_calibrated_log2_change	4	1	highest_cluster_z_score	5	HPV45__IgG	HPV45	IgG	binding_antibody_abundance	1.0540848221157266
bpv_calibrated_log2_change	4	1	lowest_cluster_z_score	1	HPV58__IgG4	HPV58	IgG4	igg_subclass_architecture	-0.3617204697283153
bpv_calibrated_log2_change	4	1	lowest_cluster_z_score	2	HPV45__IgA2	HPV45	IgA2	binding_antibody_abundance	-0.32281442660018084
bpv_calibrated_log2_change	4	1	lowest_cluster_z_score	3	HPV45__IgG4	HPV45	IgG4	igg_subclass_architecture	-0.28636445611539557
bpv_calibrated_log2_change	4	1	lowest_cluster_z_score	4	HPV52__IgG4	HPV52	IgG4	igg_subclass_architecture	-0.2561171944500577
bpv_calibrated_log2_change	4	1	lowest_cluster_z_score	5	HPV18__FcgR3A	HPV18	FcgR3A	fc_receptor_communication	-0.24988687875412013
bpv_calibrated_log2_change	4	2	highest_cluster_z_score	1	HPV52__IgG4	HPV52	IgG4	igg_subclass_architecture	0.7151906149198959
bpv_calibrated_log2_change	4	2	highest_cluster_z_score	2	HPV31__IgG4	HPV31	IgG4	igg_subclass_architecture	0.704919468133625
bpv_calibrated_log2_change	4	2	highest_cluster_z_score	3	HPV58__IgG4	HPV58	IgG4	igg_subclass_architecture	0.6897187763600063
bpv_calibrated_log2_change	4	2	highest_cluster_z_score	4	HPV33__IgG4	HPV33	IgG4	igg_subclass_architecture	0.6827624971721779
bpv_calibrated_log2_change	4	2	highest_cluster_z_score	5	HPV45__IgG4	HPV45	IgG4	igg_subclass_architecture	0.6627645211432545
bpv_calibrated_log2_change	4	2	lowest_cluster_z_score	1	HPV18__IgA1	HPV18	IgA1	binding_antibody_abundance	-0.9332158700617043
bpv_calibrated_log2_change	4	2	lowest_cluster_z_score	2	HPV16__IgA1	HPV16	IgA1	binding_antibody_abundance	-0.9092287797014776
bpv_calibrated_log2_change	4	2	lowest_cluster_z_score	3	HPV33__IgA1	HPV33	IgA1	binding_antibody_abundance	-0.7589199391188035
bpv_calibrated_log2_change	4	2	lowest_cluster_z_score	4	HPV58__IgA1	HPV58	IgA1	binding_antibody_abundance	-0.7397877827456891
bpv_calibrated_log2_change	4	2	lowest_cluster_z_score	5	HPV45__IgA1	HPV45	IgA1	binding_antibody_abundance	-0.7329467413018893
bpv_calibrated_log2_change	4	3	highest_cluster_z_score	1	HPV16__IgG1	HPV16	IgG1	igg_subclass_architecture	1.4756507393753604
bpv_calibrated_log2_change	4	3	highest_cluster_z_score	2	HPV16__IgG	HPV16	IgG	binding_antibody_abundance	1.4502779354259203
bpv_calibrated_log2_change	4	3	highest_cluster_z_score	3	HPV16__FcgR2B	HPV16	FcgR2B	fc_receptor_communication	1.3405117714634913
bpv_calibrated_log2_change	4	3	highest_cluster_z_score	4	HPV16__FcgR3A	HPV16	FcgR3A	fc_receptor_communication	1.2605089662207885
bpv_calibrated_log2_change	4	3	highest_cluster_z_score	5	HPV16__IgM	HPV16	IgM	binding_antibody_abundance	1.1588202129146699
bpv_calibrated_log2_change	4	3	lowest_cluster_z_score	1	HPV58__IgG1	HPV58	IgG1	igg_subclass_architecture	-1.017125123258652
bpv_calibrated_log2_change	4	3	lowest_cluster_z_score	2	HPV45__IgG1	HPV45	IgG1	igg_subclass_architecture	-1.0110635738834075
bpv_calibrated_log2_change	4	3	lowest_cluster_z_score	3	HPV52__IgG	HPV52	IgG	binding_antibody_abundance	-0.9490462174893909
bpv_calibrated_log2_change	4	3	lowest_cluster_z_score	4	HPV52__IgG1	HPV52	IgG1	igg_subclass_architecture	-0.9478319983598953
bpv_calibrated_log2_change	4	3	lowest_cluster_z_score	5	HPV45__IgG	HPV45	IgG	binding_antibody_abundance	-0.9390817036102006
bpv_calibrated_log2_change	4	4	highest_cluster_z_score	1	HPV52__IgG2	HPV52	IgG2	igg_subclass_architecture	0.710586744029575
bpv_calibrated_log2_change	4	4	highest_cluster_z_score	2	HPV33__FcgR3A	HPV33	FcgR3A	fc_receptor_communication	0.6278275173340128
bpv_calibrated_log2_change	4	4	highest_cluster_z_score	3	HPV31__IgG2	HPV31	IgG2	igg_subclass_architecture	0.6070160948238041
bpv_calibrated_log2_change	4	4	highest_cluster_z_score	4	HPV45__FcgR3A	HPV45	FcgR3A	fc_receptor_communication	0.5367637085323248
bpv_calibrated_log2_change	4	4	highest_cluster_z_score	5	HPV58__FcgR3A	HPV58	FcgR3A	fc_receptor_communication	0.5141051713000812
bpv_calibrated_log2_change	4	4	lowest_cluster_z_score	1	HPV16__FcgR2B	HPV16	FcgR2B	fc_receptor_communication	-0.7537127776234711
bpv_calibrated_log2_change	4	4	lowest_cluster_z_score	2	HPV16__IgG	HPV16	IgG	binding_antibody_abundance	-0.6927597482567734
bpv_calibrated_log2_change	4	4	lowest_cluster_z_score	3	HPV18__FcgR2B	HPV18	FcgR2B	fc_receptor_communication	-0.6686370393032584
bpv_calibrated_log2_change	4	4	lowest_cluster_z_score	4	HPV31__FcgR2B	HPV31	FcgR2B	fc_receptor_communication	-0.6479440030423156
bpv_calibrated_log2_change	4	4	lowest_cluster_z_score	5	HPV18__IgG	HPV18	IgG	binding_antibody_abundance	-0.5705514682205605
bpv_calibrated_log2_change	5	1	highest_cluster_z_score	1	HPV31__IgG4	HPV31	IgG4	igg_subclass_architecture	1.3588637839923678
bpv_calibrated_log2_change	5	1	highest_cluster_z_score	2	HPV33__IgG4	HPV33	IgG4	igg_subclass_architecture	1.3432455133718593
bpv_calibrated_log2_change	5	1	highest_cluster_z_score	3	HPV58__IgG4	HPV58	IgG4	igg_subclass_architecture	1.3316286689539643
bpv_calibrated_log2_change	5	1	highest_cluster_z_score	4	HPV52__IgG4	HPV52	IgG4	igg_subclass_architecture	1.3262875257687443
bpv_calibrated_log2_change	5	1	highest_cluster_z_score	5	HPV45__IgG4	HPV45	IgG4	igg_subclass_architecture	1.278904189469713
bpv_calibrated_log2_change	5	1	lowest_cluster_z_score	1	HPV18__IgA1	HPV18	IgA1	binding_antibody_abundance	-1.183762869293518
bpv_calibrated_log2_change	5	1	lowest_cluster_z_score	2	HPV16__IgA1	HPV16	IgA1	binding_antibody_abundance	-1.1345782679844114
bpv_calibrated_log2_change	5	1	lowest_cluster_z_score	3	HPV58__IgA1	HPV58	IgA1	binding_antibody_abundance	-0.9721712704297658
bpv_calibrated_log2_change	5	1	lowest_cluster_z_score	4	HPV45__IgA1	HPV45	IgA1	binding_antibody_abundance	-0.9697829397547628
bpv_calibrated_log2_change	5	1	lowest_cluster_z_score	5	HPV33__IgA1	HPV33	IgA1	binding_antibody_abundance	-0.923195667503829
bpv_calibrated_log2_change	5	2	highest_cluster_z_score	1	HPV52__FcgR3A	HPV52	FcgR3A	fc_receptor_communication	0.8120165185765549
bpv_calibrated_log2_change	5	2	highest_cluster_z_score	2	HPV58__FcgR3A	HPV58	FcgR3A	fc_receptor_communication	0.6707195955221626
bpv_calibrated_log2_change	5	2	highest_cluster_z_score	3	HPV31__FcgR3A	HPV31	FcgR3A	fc_receptor_communication	0.5869936493138919
bpv_calibrated_log2_change	5	2	highest_cluster_z_score	4	HPV31__IgA1	HPV31	IgA1	binding_antibody_abundance	0.5513651152280337
bpv_calibrated_log2_change	5	2	highest_cluster_z_score	5	HPV52__IgG1	HPV52	IgG1	igg_subclass_architecture	0.5312841892397168
bpv_calibrated_log2_change	5	2	lowest_cluster_z_score	1	HPV16__FcgR2B	HPV16	FcgR2B	fc_receptor_communication	-0.6922376914543141
bpv_calibrated_log2_change	5	2	lowest_cluster_z_score	2	HPV16__IgG	HPV16	IgG	binding_antibody_abundance	-0.6874905404805152
bpv_calibrated_log2_change	5	2	lowest_cluster_z_score	3	HPV16__IgG4	HPV16	IgG4	igg_subclass_architecture	-0.634315912023927
bpv_calibrated_log2_change	5	2	lowest_cluster_z_score	4	HPV58__IgM	HPV58	IgM	binding_antibody_abundance	-0.6149924791108441
bpv_calibrated_log2_change	5	2	lowest_cluster_z_score	5	HPV18__FcgR2B	HPV18	FcgR2B	fc_receptor_communication	-0.5858964370293773
bpv_calibrated_log2_change	5	3	highest_cluster_z_score	1	HPV45__IgG2	HPV45	IgG2	igg_subclass_architecture	0.7792131334819936
bpv_calibrated_log2_change	5	3	highest_cluster_z_score	2	HPV52__IgG2	HPV52	IgG2	igg_subclass_architecture	0.741623404664268
bpv_calibrated_log2_change	5	3	highest_cluster_z_score	3	HPV58__IgG2	HPV58	IgG2	igg_subclass_architecture	0.653914232617764
bpv_calibrated_log2_change	5	3	highest_cluster_z_score	4	HPV31__IgG2	HPV31	IgG2	igg_subclass_architecture	0.643149423065729
bpv_calibrated_log2_change	5	3	highest_cluster_z_score	5	HPV33__IgG2	HPV33	IgG2	igg_subclass_architecture	0.5660369104328539
bpv_calibrated_log2_change	5	3	lowest_cluster_z_score	1	HPV18__IgG1	HPV18	IgG1	igg_subclass_architecture	-0.8371271510828773
bpv_calibrated_log2_change	5	3	lowest_cluster_z_score	2	HPV31__FcgR3A	HPV31	FcgR3A	fc_receptor_communication	-0.7637695779846911
bpv_calibrated_log2_change	5	3	lowest_cluster_z_score	3	HPV18__IgG	HPV18	IgG	binding_antibody_abundance	-0.711904395677006
bpv_calibrated_log2_change	5	3	lowest_cluster_z_score	4	HPV16__FcgR3A	HPV16	FcgR3A	fc_receptor_communication	-0.6518218290903511
bpv_calibrated_log2_change	5	3	lowest_cluster_z_score	5	HPV31__FcgR2B	HPV31	FcgR2B	fc_receptor_communication	-0.621323585865551
bpv_calibrated_log2_change	5	4	highest_cluster_z_score	1	HPV31__FcgR2B	HPV31	FcgR2B	fc_receptor_communication	1.4919752482640052
bpv_calibrated_log2_change	5	4	highest_cluster_z_score	2	HPV31__IgG	HPV31	IgG	binding_antibody_abundance	1.3826781018002567
bpv_calibrated_log2_change	5	4	highest_cluster_z_score	3	HPV58__FcgR2B	HPV58	FcgR2B	fc_receptor_communication	1.3290642210055295
bpv_calibrated_log2_change	5	4	highest_cluster_z_score	4	HPV52__IgG	HPV52	IgG	binding_antibody_abundance	1.16600816949581
bpv_calibrated_log2_change	5	4	highest_cluster_z_score	5	HPV52__FcgR2B	HPV52	FcgR2B	fc_receptor_communication	1.1583804236944124
bpv_calibrated_log2_change	5	4	lowest_cluster_z_score	1	HPV58__IgG4	HPV58	IgG4	igg_subclass_architecture	-0.26045448535079074
bpv_calibrated_log2_change	5	4	lowest_cluster_z_score	2	HPV45__IgA2	HPV45	IgA2	binding_antibody_abundance	-0.23427513672993802
bpv_calibrated_log2_change	5	4	lowest_cluster_z_score	3	HPV45__IgG4	HPV45	IgG4	igg_subclass_architecture	-0.1951126463975723
bpv_calibrated_log2_change	5	4	lowest_cluster_z_score	4	HPV52__IgG4	HPV52	IgG4	igg_subclass_architecture	-0.1337926500614069
bpv_calibrated_log2_change	5	4	lowest_cluster_z_score	5	HPV16__FcgR3A	HPV16	FcgR3A	fc_receptor_communication	-0.10906483701216177
bpv_calibrated_log2_change	5	5	highest_cluster_z_score	1	HPV16__IgG1	HPV16	IgG1	igg_subclass_architecture	1.5745849482957746
bpv_calibrated_log2_change	5	5	highest_cluster_z_score	2	HPV16__IgG	HPV16	IgG	binding_antibody_abundance	1.5304296127536647
bpv_calibrated_log2_change	5	5	highest_cluster_z_score	3	HPV16__FcgR2B	HPV16	FcgR2B	fc_receptor_communication	1.4268224953184665
bpv_calibrated_log2_change	5	5	highest_cluster_z_score	4	HPV16__FcgR3A	HPV16	FcgR3A	fc_receptor_communication	1.340550522400966
bpv_calibrated_log2_change	5	5	highest_cluster_z_score	5	HPV16__IgM	HPV16	IgM	binding_antibody_abundance	1.1960287849762654
bpv_calibrated_log2_change	5	5	lowest_cluster_z_score	1	HPV45__IgG1	HPV45	IgG1	igg_subclass_architecture	-1.0197717800502635
bpv_calibrated_log2_change	5	5	lowest_cluster_z_score	2	HPV58__IgG1	HPV58	IgG1	igg_subclass_architecture	-0.9865828000419437
bpv_calibrated_log2_change	5	5	lowest_cluster_z_score	3	HPV45__IgG	HPV45	IgG	binding_antibody_abundance	-0.9645721807375435
bpv_calibrated_log2_change	5	5	lowest_cluster_z_score	4	HPV52__IgG	HPV52	IgG	binding_antibody_abundance	-0.9581378482654489
bpv_calibrated_log2_change	5	5	lowest_cluster_z_score	5	HPV45__FcgR2A	HPV45	FcgR2A	fc_receptor_communication	-0.9443013420002995
bpv_calibrated_log2_change	6	1	highest_cluster_z_score	1	HPV16__IgG	HPV16	IgG	binding_antibody_abundance	1.4315710104566597
bpv_calibrated_log2_change	6	1	highest_cluster_z_score	2	HPV16__IgG1	HPV16	IgG1	igg_subclass_architecture	1.4297312066535162
bpv_calibrated_log2_change	6	1	highest_cluster_z_score	3	HPV16__FcgR2B	HPV16	FcgR2B	fc_receptor_communication	1.343729499824668
bpv_calibrated_log2_change	6	1	highest_cluster_z_score	4	HPV16__IgM	HPV16	IgM	binding_antibody_abundance	1.2259982648563843
bpv_calibrated_log2_change	6	1	highest_cluster_z_score	5	HPV16__FcgR3A	HPV16	FcgR3A	fc_receptor_communication	1.2235950484650007
bpv_calibrated_log2_change	6	1	lowest_cluster_z_score	1	HPV58__IgG1	HPV58	IgG1	igg_subclass_architecture	-1.0495812451774271
bpv_calibrated_log2_change	6	1	lowest_cluster_z_score	2	HPV45__IgG1	HPV45	IgG1	igg_subclass_architecture	-0.9930268793788092
bpv_calibrated_log2_change	6	1	lowest_cluster_z_score	3	HPV45__IgG	HPV45	IgG	binding_antibody_abundance	-0.8871144556030552
bpv_calibrated_log2_change	6	1	lowest_cluster_z_score	4	HPV58__IgG	HPV58	IgG	binding_antibody_abundance	-0.8328883341531774
bpv_calibrated_log2_change	6	1	lowest_cluster_z_score	5	HPV58__FcgR3A	HPV58	FcgR3A	fc_receptor_communication	-0.8305980862163679
bpv_calibrated_log2_change	6	2	highest_cluster_z_score	1	HPV52__FcgR3A	HPV52	FcgR3A	fc_receptor_communication	1.5985911386234837
bpv_calibrated_log2_change	6	2	highest_cluster_z_score	2	HPV58__FcgR3A	HPV58	FcgR3A	fc_receptor_communication	1.36472100117791
bpv_calibrated_log2_change	6	2	highest_cluster_z_score	3	HPV45__FcgR3A	HPV45	FcgR3A	fc_receptor_communication	1.2882479152536248
bpv_calibrated_log2_change	6	2	highest_cluster_z_score	4	HPV31__FcgR3A	HPV31	FcgR3A	fc_receptor_communication	1.048495834861289
bpv_calibrated_log2_change	6	2	highest_cluster_z_score	5	HPV52__IgG1	HPV52	IgG1	igg_subclass_architecture	1.0108425087351098
bpv_calibrated_log2_change	6	2	lowest_cluster_z_score	1	HPV16__FcgR2B	HPV16	FcgR2B	fc_receptor_communication	-0.9440235554986627
bpv_calibrated_log2_change	6	2	lowest_cluster_z_score	2	HPV18__FcgR2B	HPV18	FcgR2B	fc_receptor_communication	-0.8716500864722179
bpv_calibrated_log2_change	6	2	lowest_cluster_z_score	3	HPV16__IgG4	HPV16	IgG4	igg_subclass_architecture	-0.798483659784608
bpv_calibrated_log2_change	6	2	lowest_cluster_z_score	4	HPV16__IgG	HPV16	IgG	binding_antibody_abundance	-0.750620374690947
bpv_calibrated_log2_change	6	2	lowest_cluster_z_score	5	HPV45__FcgR2B	HPV45	FcgR2B	fc_receptor_communication	-0.6901414414164945
bpv_calibrated_log2_change	6	3	highest_cluster_z_score	1	HPV45__IgG2	HPV45	IgG2	igg_subclass_architecture	0.700086459399187
bpv_calibrated_log2_change	6	3	highest_cluster_z_score	2	HPV52__IgG2	HPV52	IgG2	igg_subclass_architecture	0.6833019535202481
bpv_calibrated_log2_change	6	3	highest_cluster_z_score	3	HPV58__IgG2	HPV58	IgG2	igg_subclass_architecture	0.5961680695461736
bpv_calibrated_log2_change	6	3	highest_cluster_z_score	4	HPV31__IgG2	HPV31	IgG2	igg_subclass_architecture	0.5407996539058639
bpv_calibrated_log2_change	6	3	highest_cluster_z_score	5	HPV31__IgM	HPV31	IgM	binding_antibody_abundance	0.48458831994738494
bpv_calibrated_log2_change	6	3	lowest_cluster_z_score	1	HPV31__FcgR2B	HPV31	FcgR2B	fc_receptor_communication	-0.6930269708398095
bpv_calibrated_log2_change	6	3	lowest_cluster_z_score	2	HPV31__FcgR3A	HPV31	FcgR3A	fc_receptor_communication	-0.6914720961090302
bpv_calibrated_log2_change	6	3	lowest_cluster_z_score	3	HPV18__IgG1	HPV18	IgG1	igg_subclass_architecture	-0.6827167023956366
bpv_calibrated_log2_change	6	3	lowest_cluster_z_score	4	HPV18__IgG	HPV18	IgG	binding_antibody_abundance	-0.6680211175934634
bpv_calibrated_log2_change	6	3	lowest_cluster_z_score	5	HPV31__IgG	HPV31	IgG	binding_antibody_abundance	-0.6000358813270097
bpv_calibrated_log2_change	6	4	highest_cluster_z_score	1	HPV31__IgG4	HPV31	IgG4	igg_subclass_architecture	0.969182410027356
bpv_calibrated_log2_change	6	4	highest_cluster_z_score	2	HPV52__IgG4	HPV52	IgG4	igg_subclass_architecture	0.9287822916774171
bpv_calibrated_log2_change	6	4	highest_cluster_z_score	3	HPV45__IgG4	HPV45	IgG4	igg_subclass_architecture	0.9246967947238101
bpv_calibrated_log2_change	6	4	highest_cluster_z_score	4	HPV58__IgG4	HPV58	IgG4	igg_subclass_architecture	0.880322903312301
bpv_calibrated_log2_change	6	4	highest_cluster_z_score	5	HPV33__IgG4	HPV33	IgG4	igg_subclass_architecture	0.8589994735661984
bpv_calibrated_log2_change	6	4	lowest_cluster_z_score	1	HPV18__IgA1	HPV18	IgA1	binding_antibody_abundance	-0.969062314365428
bpv_calibrated_log2_change	6	4	lowest_cluster_z_score	2	HPV16__IgA1	HPV16	IgA1	binding_antibody_abundance	-0.9345274867631685
bpv_calibrated_log2_change	6	4	lowest_cluster_z_score	3	HPV33__IgA1	HPV33	IgA1	binding_antibody_abundance	-0.821380166162833
bpv_calibrated_log2_change	6	4	lowest_cluster_z_score	4	HPV58__IgA1	HPV58	IgA1	binding_antibody_abundance	-0.8179414848402821
bpv_calibrated_log2_change	6	4	lowest_cluster_z_score	5	HPV45__IgA1	HPV45	IgA1	binding_antibody_abundance	-0.7571802137079839
bpv_calibrated_log2_change	6	5	highest_cluster_z_score	1	HPV31__FcgR2B	HPV31	FcgR2B	fc_receptor_communication	1.4988495751645063
bpv_calibrated_log2_change	6	5	highest_cluster_z_score	2	HPV58__FcgR2B	HPV58	FcgR2B	fc_receptor_communication	1.2541678729968386
bpv_calibrated_log2_change	6	5	highest_cluster_z_score	3	HPV31__IgG	HPV31	IgG	binding_antibody_abundance	1.2316714920224636
bpv_calibrated_log2_change	6	5	highest_cluster_z_score	4	HPV52__FcgR2B	HPV52	FcgR2B	fc_receptor_communication	1.1112849521789938
bpv_calibrated_log2_change	6	5	highest_cluster_z_score	5	HPV45__IgG	HPV45	IgG	binding_antibody_abundance	1.0540848221157266
bpv_calibrated_log2_change	6	5	lowest_cluster_z_score	1	HPV58__IgG4	HPV58	IgG4	igg_subclass_architecture	-0.3617204697283153
bpv_calibrated_log2_change	6	5	lowest_cluster_z_score	2	HPV45__IgA2	HPV45	IgA2	binding_antibody_abundance	-0.32281442660018084
bpv_calibrated_log2_change	6	5	lowest_cluster_z_score	3	HPV45__IgG4	HPV45	IgG4	igg_subclass_architecture	-0.28636445611539557
bpv_calibrated_log2_change	6	5	lowest_cluster_z_score	4	HPV52__IgG4	HPV52	IgG4	igg_subclass_architecture	-0.2561171944500577
bpv_calibrated_log2_change	6	5	lowest_cluster_z_score	5	HPV18__FcgR3A	HPV18	FcgR3A	fc_receptor_communication	-0.24988687875412013
bpv_calibrated_log2_change	6	6	highest_cluster_z_score	1	HPV16__IgG1	HPV16	IgG1	igg_subclass_architecture	2.302202328368559
bpv_calibrated_log2_change	6	6	highest_cluster_z_score	2	HPV16__FcgR3A	HPV16	FcgR3A	fc_receptor_communication	1.9249594858249688
bpv_calibrated_log2_change	6	6	highest_cluster_z_score	3	HPV16__IgG	HPV16	IgG	binding_antibody_abundance	1.7870025848726192
bpv_calibrated_log2_change	6	6	highest_cluster_z_score	4	HPV18__IgG1	HPV18	IgG1	igg_subclass_architecture	1.4636518241993028
bpv_calibrated_log2_change	6	6	highest_cluster_z_score	5	HPV16__IgG3	HPV16	IgG3	igg_subclass_architecture	1.4624064245161863
bpv_calibrated_log2_change	6	6	lowest_cluster_z_score	1	HPV52__IgG	HPV52	IgG	binding_antibody_abundance	-4.357654417634141
bpv_calibrated_log2_change	6	6	lowest_cluster_z_score	2	HPV52__IgG1	HPV52	IgG1	igg_subclass_architecture	-3.9597995001753707
bpv_calibrated_log2_change	6	6	lowest_cluster_z_score	3	HPV16__IgG2	HPV16	IgG2	igg_subclass_architecture	-3.785283258380605
bpv_calibrated_log2_change	6	6	lowest_cluster_z_score	4	HPV45__IgG2	HPV45	IgG2	igg_subclass_architecture	-3.3397957950599264
