matrix_representation	cluster_count	cluster_label	marker_direction	marker_rank	feature_column	antigen_target	assay_feature	feature_family	cluster_mean_standardized_value
raw_log2_change	2	2	lowest_cluster_z_score	4	HPV58__IgG	HPV58	IgG	binding_antibody_abundance	-1.0581845369365097
raw_log2_change	2	2	lowest_cluster_z_score	5	HPV58__IgG1	HPV58	IgG1	igg_subclass_architecture	-1.055519901340294
raw_log2_change	3	1	highest_cluster_z_score	1	HPV31__FcgR3A	HPV31	FcgR3A	fc_receptor_communication	1.0110901059198982
raw_log2_change	3	1	highest_cluster_z_score	2	HPV52__FcgR3A	HPV52	FcgR3A	fc_receptor_communication	0.9683226588325571
raw_log2_change	3	1	highest_cluster_z_score	3	HPV58__FcgR3A	HPV58	FcgR3A	fc_receptor_communication	0.9590250749243482
raw_log2_change	3	1	highest_cluster_z_score	4	HPV45__FcgR3A	HPV45	FcgR3A	fc_receptor_communication	0.9377669191143723
raw_log2_change	3	1	highest_cluster_z_score	5	HPV31__IgG	HPV31	IgG	binding_antibody_abundance	0.8973739727988279
raw_log2_change	3	1	lowest_cluster_z_score	1	BPV__IgA1	BPV	IgA1	binding_antibody_abundance	-0.4720250097900242
raw_log2_change	3	1	lowest_cluster_z_score	2	HPV16__FcgR2B	HPV16	FcgR2B	fc_receptor_communication	-0.46210308558076907
raw_log2_change	3	1	lowest_cluster_z_score	3	HPV16__IgG	HPV16	IgG	binding_antibody_abundance	-0.4023003512807187
raw_log2_change	3	1	lowest_cluster_z_score	4	HPV16__IgG1	HPV16	IgG1	igg_subclass_architecture	-0.3447575623184203
raw_log2_change	3	1	lowest_cluster_z_score	5	HPV16__FcgR3A	HPV16	FcgR3A	fc_receptor_communication	-0.23833111925285347
raw_log2_change	3	2	highest_cluster_z_score	1	HPV16__IgG	HPV16	IgG	binding_antibody_abundance	1.6445502119358881
raw_log2_change	3	2	highest_cluster_z_score	2	HPV16__IgG1	HPV16	IgG1	igg_subclass_architecture	1.6250179616962608
raw_log2_change	3	2	highest_cluster_z_score	3	HPV16__FcgR2B	HPV16	FcgR2B	fc_receptor_communication	1.585282401585818
raw_log2_change	3	2	highest_cluster_z_score	4	HPV16__FcgR3A	HPV16	FcgR3A	fc_receptor_communication	1.4176400832569516
raw_log2_change	3	2	highest_cluster_z_score	5	HPV16__IgA1	HPV16	IgA1	binding_antibody_abundance	1.2277364405008178
raw_log2_change	3	2	lowest_cluster_z_score	1	HPV45__IgG	HPV45	IgG	binding_antibody_abundance	-1.1625624302125173
raw_log2_change	3	2	lowest_cluster_z_score	2	HPV45__IgG1	HPV45	IgG1	igg_subclass_architecture	-1.1353201240461128
raw_log2_change	3	2	lowest_cluster_z_score	3	HPV52__IgG	HPV52	IgG	binding_antibody_abundance	-1.0997303377412624
