matrix_type	mechanistic_axis	analysis_stratum	metric	participants	mean	standard_deviation	median	first_quartile	third_quartile	minimum	maximum
bpv_calibrated_log2_change	binding_antibody_abundance	recall_dose3	median_cross_reactive_score	19	0.4731059576131933	1.1695632329366161	0.4648270526418032	-0.0028717133207085584	1.0424775947216651	-2.876447600281134	2.329746033486255
bpv_calibrated_log2_change	binding_antibody_abundance	recall_dose3	minimum_cross_reactive_score	19	-0.6382760693598422	1.484603993058137	-0.5067223301275923	-1.3294479627214049	0.26651492599953097	-4.162715446764325	1.4749668461211078
bpv_calibrated_log2_change	binding_antibody_abundance	recall_dose3	positive_antigen_count	19	3.473684210526316	1.4286131990551605	4.0	2.5	5.0	0.0	5.0
bpv_calibrated_log2_change	binding_antibody_abundance	recall_dose3	twofold_antigen_count	19	2.0526315789473686	1.6490294859747157	2.0	1.0	2.5	0.0	5.0
bpv_calibrated_log2_change	binding_antibody_abundance	recall_dose3	positive_antigen_fraction	19	0.6947368421052632	0.2857226398110321	0.8	0.5	1.0	0.0	1.0
bpv_calibrated_log2_change	binding_antibody_abundance	recall_dose3	twofold_antigen_fraction	19	0.4105263157894737	0.32980589719494313	0.4	0.2	0.5	0.0	1.0
bpv_calibrated_log2_change	fc_receptor_communication	primary_dose0	mean_cross_reactive_score	20	0.45506425553182084	2.525987340208289	0.09077240112904189	-0.9139005266979565	2.163079916844385	-4.6111220468821505	7.2564018137289805
bpv_calibrated_log2_change	fc_receptor_communication	primary_dose0	median_cross_reactive_score	20	0.42717682947586233	2.487515820723076	0.41387016847612934	-0.790660501881738	1.3389338646892177	-3.9665232707821225	7.768656649243463
bpv_calibrated_log2_change	fc_receptor_communication	primary_dose0	minimum_cross_reactive_score	20	-0.9894014230157623	2.472298706501284	-0.940095144100217	-1.9745535912163146	0.4630029633280631	-8.126727000523795	3.0460593647385052
bpv_calibrated_log2_change	fc_receptor_communication	primary_dose0	positive_antigen_count	20	2.75	2.1244194253340942	3.0	0.75	5.0	0.0	5.0
bpv_calibrated_log2_change	fc_receptor_communication	primary_dose0	twofold_antigen_count	20	1.85	1.9808291724745768	1.0	0.0	3.25	0.0	5.0
bpv_calibrated_log2_change	fc_receptor_communication	primary_dose0	positive_antigen_fraction	20	0.55	0.42488388506681884	0.6	0.15000000000000002	1.0	0.0	1.0
bpv_calibrated_log2_change	fc_receptor_communication	primary_dose0	twofold_antigen_fraction	20	0.37	0.3961658344949153	0.2	0.0	0.65	0.0	1.0
bpv_calibrated_log2_change	fc_receptor_communication	recall_all_doses	mean_cross_reactive_score	60	2.749738736934504	2.286033921231493	2.7078363592413845	1.4340466906478029	3.9994927045363995	-2.511736398270739	8.106791112566004
bpv_calibrated_log2_change	fc_receptor_communication	recall_all_doses	median_cross_reactive_score	60	2.8187859338763364	2.530181159724899	2.4296983497690885	1.3313321683960337	4.271522760527221	-2.8406146238094814	8.757885113831323
bpv_calibrated_log2_change	fc_receptor_communication	recall_all_doses	minimum_cross_reactive_score	60	0.8552589282813923	1.883664267773319	0.7014156472215859	-0.4192766707786397	1.8287733621598266	-3.899180191980846	6.272367940423332
bpv_calibrated_log2_change	fc_receptor_communication	recall_all_doses	positive_antigen_count	60	4.216666666666667	1.5303889686874466	5.0	4.0	5.0	0.0	5.0
